AILI(sub, obj, type, content, context, time)
ThoughtPositive(991, 993, Positive, I think I like 993, null, 0)
ThoughtPositive(993, 999, Positive, I think I like 999, null, 0)
ThoughtPositive(995, 997, Positive, I think I like 997, null, 0)
ThoughtPositive(997, 991, Positive, I think I like 991, null, 0)
ThoughtPositive(999, 997, Positive, I think I like 997, null, 0)
SpeechGreet(995, 997, Positive, Nice to meet you!, null, 4)
SpeechNegative(995, 997, Negative, Not so fun ..., null, 4)
SpeechGreet(993, 999, Positive, Nice to meet you!, null, 26)
SpeechPositive(993, 999, Positive, This is fun!, null, 26)
SpeechNegative(997, 995, Negative, Not so fun ..., null, 44)
SpeechGreet(997, 991, Positive, Nice to meet you!, null, 56)
SpeechPositive(997, 991, Positive, This is fun!, null, 56)
SpeechNegative(995, 997, Negative, Not so fun ..., null, 91)
SpeechNegative(999, 993, Negative, Not so fun ..., null, 117)
SpeechNegative(999, 993, Negative, Not so fun ..., null, 122)
SpeechPositive(991, 997, Positive, This is fun!, null, 133)
SpeechGreet(991, 995, Positive, Nice to meet you!, null, 147)
SpeechPositive(991, 995, Positive, This is fun!, null, 147)
SpeechNegative(997, 995, Negative, Not so fun ..., null, 149)
SpeechPositive(997, 995, Positive, This is fun!, null, 155)
SpeechPositive(997, 995, Positive, This is fun!, null, 177)
SpeechNegative(997, 991, Negative, Not so fun ..., null, 184)
SpeechNegative(991, 995, Negative, Not so fun ..., null, 191)
SpeechPositive(999, 993, Positive, This is fun!, null, 295)
SpeechGreet(993, 991, Positive, Nice to meet you!, null, 305)
SpeechPositive(993, 991, Positive, This is fun!, null, 305)
SpeechPositive(997, 995, Positive, This is fun!, null, 313)
SpeechNegative(993, 991, Negative, Not so fun ..., null, 316)
SpeechNegative(993, 999, Negative, Not so fun ..., null, 318)
SpeechPositive(995, 997, Positive, This is fun!, null, 354)
SpeechNegative(999, 993, Negative, Not so fun ..., null, 354)
SpeechPositive(993, 999, Positive, This is fun!, null, 365)
SpeechNegative(997, 995, Negative, Not so fun ..., null, 389)
SpeechGreet(991, 999, Positive, Nice to meet you!, null, 398)
SpeechPositive(991, 999, Positive, This is fun!, null, 398)
SpeechNegative(991, 993, Negative, Not so fun ..., null, 461)
SpeechNegative(993, 991, Negative, Not so fun ..., null, 471)
SpeechGreet(993, 997, Positive, Nice to meet you!, null, 522)
SpeechPositive(993, 997, Positive, This is fun!, null, 522)
SpeechPositive(993, 997, Positive, This is fun!, null, 554)
SpeechGreet(995, 993, Positive, Nice to meet you!, null, 607)
SpeechPositive(995, 993, Positive, This is fun!, null, 607)
SpeechNegative(995, 997, Negative, Not so fun ..., null, 620)
SpeechPositive(991, 999, Positive, This is fun!, null, 686)
SpeechPositive(997, 995, Positive, This is fun!, null, 686)
SpeechNegative(995, 993, Negative, Not so fun ..., null, 697)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 699)
SpeechPositive(999, 993, Positive, This is fun!, null, 701)
