AILI(sub, obj, type, content, context, time)
ThoughtPositive(987, 993, Positive, I think I like 993, null, 0)
ThoughtPositive(989, 993, Positive, I think I like 993, null, 0)
ThoughtPositive(991, 995, Positive, I think I like 995, null, 0)
ThoughtPositive(993, 989, Positive, I think I like 989, null, 0)
ThoughtPositive(995, 991, Positive, I think I like 991, null, 0)
SpeechGreet(993, 995, Positive, Nice to meet you!, null, 27)
SpeechPositive(993, 995, Positive, This is fun!, null, 27)
SpeechGreet(987, 995, Positive, Nice to meet you!, null, 59)
SpeechPositive(987, 995, Positive, This is fun!, null, 59)
SpeechGreet(987, 993, Positive, Nice to meet you!, null, 60)
SpeechPositive(987, 993, Positive, This is fun!, null, 60)
SpeechPositive(993, 987, Positive, This is fun!, null, 102)
SpeechGreet(991, 993, Positive, Nice to meet you!, null, 103)
SpeechPositive(991, 993, Positive, This is fun!, null, 103)
SpeechPositive(987, 993, Positive, This is fun!, null, 113)
SpeechPositive(995, 993, Positive, This is fun!, null, 132)
SpeechPositive(993, 991, Positive, This is fun!, null, 145)
SpeechPositive(991, 993, Positive, This is fun!, null, 150)
SpeechPositive(995, 993, Positive, This is fun!, null, 156)
SpeechGreet(995, 991, Positive, Nice to meet you!, null, 158)
SpeechPositive(995, 991, Positive, This is fun!, null, 158)
SpeechNegative(993, 991, Negative, Not so fun ..., null, 163)
SpeechPositive(993, 987, Positive, This is fun!, null, 171)
SpeechNegative(987, 993, Negative, Not so fun ..., null, 179)
SpeechPositive(995, 987, Positive, This is fun!, null, 189)
SpeechPositive(995, 991, Positive, This is fun!, null, 195)
SpeechNegative(993, 991, Negative, Not so fun ..., null, 198)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 303)
SpeechPositive(987, 995, Positive, This is fun!, null, 314)
SpeechGreet(991, 989, Positive, Nice to meet you!, null, 355)
SpeechNegative(991, 989, Negative, Not so fun ..., null, 355)
SpeechPositive(987, 993, Positive, This is fun!, null, 357)
SpeechNegative(993, 987, Negative, Not so fun ..., null, 377)
SpeechNegative(987, 993, Negative, Not so fun ..., null, 383)
SpeechPositive(993, 995, Positive, This is fun!, null, 387)
SpeechPositive(987, 995, Positive, This is fun!, null, 404)
SpeechNegative(991, 989, Negative, Not so fun ..., null, 409)
SpeechNegative(995, 993, Negative, Not so fun ..., null, 413)
SpeechPositive(995, 987, Positive, This is fun!, null, 430)
SpeechPositive(993, 995, Positive, This is fun!, null, 431)
SpeechNegative(987, 995, Negative, Not so fun ..., null, 433)
SpeechNegative(987, 995, Negative, Not so fun ..., null, 448)
SpeechPositive(987, 993, Positive, This is fun!, null, 476)
SpeechPositive(989, 991, Positive, This is fun!, null, 487)
SpeechNegative(995, 987, Negative, Not so fun ..., null, 494)
SpeechNegative(995, 993, Negative, Not so fun ..., null, 496)
SpeechGreet(991, 987, Positive, Nice to meet you!, null, 509)
SpeechPositive(991, 987, Positive, This is fun!, null, 509)
SpeechGreet(987, 989, Positive, Nice to meet you!, null, 519)
SpeechPositive(987, 989, Positive, This is fun!, null, 519)
SpeechGreet(989, 993, Positive, Nice to meet you!, null, 539)
SpeechPositive(989, 993, Positive, This is fun!, null, 539)
