AILI(sub, obj, type, content, context, time)
ThoughtPositive(991, 999, Positive, I think I like 999, null, 0)
ThoughtPositive(993, 999, Positive, I think I like 999, null, 0)
ThoughtPositive(995, 997, Positive, I think I like 997, null, 0)
ThoughtPositive(997, 993, Positive, I think I like 993, null, 0)
ThoughtPositive(999, 995, Positive, I think I like 995, null, 0)
SpeechGreet(995, 997, Positive, Nice to meet you!, null, 35)
SpeechNegative(995, 997, Negative, Not so fun ..., null, 35)
SpeechPositive(997, 995, Positive, This is fun!, null, 60)
SpeechPositive(995, 997, Positive, This is fun!, null, 84)
SpeechPositive(995, 997, Positive, This is fun!, null, 102)
SpeechGreet(993, 991, Positive, Nice to meet you!, null, 141)
SpeechNegative(993, 991, Negative, Not so fun ..., null, 141)
SpeechPositive(995, 997, Positive, This is fun!, null, 166)
SpeechNegative(997, 995, Negative, Not so fun ..., null, 290)
SpeechPositive(995, 997, Positive, This is fun!, null, 293)
SpeechNegative(991, 993, Negative, Not so fun ..., null, 319)
SpeechGreet(999, 993, Positive, Nice to meet you!, null, 343)
SpeechPositive(999, 993, Positive, This is fun!, null, 343)
SpeechPositive(993, 991, Positive, This is fun!, null, 353)
SpeechNegative(997, 995, Negative, Not so fun ..., null, 381)
SpeechPositive(993, 991, Positive, This is fun!, null, 390)
SpeechNegative(991, 993, Negative, Not so fun ..., null, 410)
SpeechNegative(991, 993, Negative, Not so fun ..., null, 429)
SpeechNegative(997, 995, Negative, Not so fun ..., null, 478)
SpeechNegative(991, 993, Negative, Not so fun ..., null, 487)
SpeechGreet(991, 999, Positive, Nice to meet you!, null, 488)
SpeechPositive(991, 999, Positive, This is fun!, null, 488)
SpeechPositive(993, 999, Positive, This is fun!, null, 493)
SpeechGreet(999, 995, Positive, Nice to meet you!, null, 518)
SpeechPositive(999, 995, Positive, This is fun!, null, 518)
SpeechGreet(997, 991, Positive, Nice to meet you!, null, 528)
SpeechNegative(997, 991, Negative, Not so fun ..., null, 528)
SpeechPositive(997, 995, Positive, This is fun!, null, 532)
SpeechNegative(991, 999, Negative, Not so fun ..., null, 560)
SpeechGreet(993, 995, Positive, Nice to meet you!, null, 612)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 612)
SpeechGreet(997, 999, Positive, Nice to meet you!, null, 617)
SpeechPositive(997, 999, Positive, This is fun!, null, 617)
SpeechPositive(997, 999, Positive, This is fun!, null, 644)
SpeechNegative(997, 999, Negative, Not so fun ..., null, 717)
SpeechPositive(999, 991, Positive, This is fun!, null, 762)
SpeechPositive(999, 991, Positive, This is fun!, null, 765)
SpeechPositive(997, 995, Positive, This is fun!, null, 812)
SpeechPositive(997, 999, Positive, This is fun!, null, 823)
SpeechPositive(991, 999, Positive, This is fun!, null, 840)
SpeechPositive(993, 995, Positive, This is fun!, null, 881)
SpeechPositive(993, 999, Positive, This is fun!, null, 896)
SpeechPositive(991, 999, Positive, This is fun!, null, 902)
SpeechGreet(991, 995, Positive, Nice to meet you!, null, 941)
SpeechNegative(991, 995, Negative, Not so fun ..., null, 941)
SpeechPositive(999, 995, Positive, This is fun!, null, 946)
SpeechNegative(993, 999, Negative, Not so fun ..., null, 949)
SpeechPositive(993, 999, Positive, This is fun!, null, 979)
SpeechPositive(997, 999, Positive, This is fun!, null, 980)
SpeechNegative(997, 999, Negative, Not so fun ..., null, 990)
SpeechNegative(991, 999, Negative, Not so fun ..., null, 1041)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 1048)
SpeechPositive(995, 999, Positive, This is fun!, null, 1051)
SpeechPositive(997, 999, Positive, This is fun!, null, 1057)
SpeechPositive(991, 999, Positive, This is fun!, null, 1066)
