AILI(sub, obj, type, content, context, time)
ThoughtPositive(987, 993, Positive, I think I like 993, null, 0)
ThoughtPositive(989, 993, Positive, I think I like 993, null, 0)
ThoughtPositive(991, 989, Positive, I think I like 989, null, 0)
ThoughtPositive(993, 995, Positive, I think I like 995, null, 0)
ThoughtPositive(995, 987, Positive, I think I like 987, null, 0)
SpeechGreet(993, 987, Positive, Nice to meet you!, null, 13)
SpeechNegative(993, 987, Negative, Not so fun ..., null, 13)
SpeechGreet(987, 989, Positive, Nice to meet you!, null, 34)
SpeechPositive(987, 989, Positive, This is fun!, null, 34)
SpeechPositive(989, 987, Positive, This is fun!, null, 42)
SpeechNegative(993, 987, Negative, Not so fun ..., null, 105)
SpeechGreet(995, 991, Positive, Nice to meet you!, null, 113)
SpeechPositive(995, 991, Positive, This is fun!, null, 113)
SpeechPositive(993, 987, Positive, This is fun!, null, 173)
SpeechNegative(987, 989, Negative, Not so fun ..., null, 192)
SpeechGreet(993, 995, Positive, Nice to meet you!, null, 275)
SpeechPositive(993, 995, Positive, This is fun!, null, 275)
SpeechPositive(995, 993, Positive, This is fun!, null, 281)
SpeechGreet(987, 991, Positive, Nice to meet you!, null, 306)
SpeechPositive(987, 991, Positive, This is fun!, null, 306)
SpeechPositive(995, 993, Positive, This is fun!, null, 327)
SpeechGreet(991, 989, Positive, Nice to meet you!, null, 374)
SpeechPositive(991, 989, Positive, This is fun!, null, 374)
SpeechPositive(989, 987, Positive, This is fun!, null, 390)
SpeechPositive(995, 993, Positive, This is fun!, null, 400)
SpeechPositive(989, 991, Positive, This is fun!, null, 456)
SpeechPositive(991, 989, Positive, This is fun!, null, 458)
SpeechPositive(993, 995, Positive, This is fun!, null, 485)
SpeechNegative(987, 989, Negative, Not so fun ..., null, 498)
SpeechPositive(987, 991, Positive, This is fun!, null, 501)
SpeechPositive(989, 991, Positive, This is fun!, null, 621)
SpeechPositive(989, 991, Positive, This is fun!, null, 656)
SpeechPositive(987, 991, Positive, This is fun!, null, 662)
SpeechPositive(989, 991, Positive, This is fun!, null, 686)
SpeechProposal(989, 991, Proposal, Will you come to the prom with me!, null, 686)
SpeechAccept(991, 989, Accept, Yes 989! I'd love to go to the Prom with you!, null, 686)
SpeechPositive(995, 993, Positive, This is fun!, null, 705)
SpeechProposal(995, 993, Proposal, Will you come to the prom with me!, null, 705)
SpeechAccept(993, 995, Accept, Yes 995! I'd love to go to the Prom with you!, null, 705)
SpeechPositive(991, 989, Positive, This is fun!, null, 734)
SpeechNegative(987, 989, Negative, Not so fun ..., null, 743)
SpeechPositive(995, 993, Positive, This is fun!, null, 751)
SpeechNegative(989, 987, Negative, Not so fun ..., null, 773)
SpeechPositive(989, 991, Positive, This is fun!, null, 776)
SpeechGreet(995, 987, Positive, Nice to meet you!, null, 860)
SpeechPositive(995, 987, Positive, This is fun!, null, 860)
SpeechPositive(993, 987, Positive, This is fun!, null, 863)
SpeechGreet(989, 993, Positive, Nice to meet you!, null, 866)
SpeechNegative(989, 993, Negative, Not so fun ..., null, 866)
SpeechPositive(991, 987, Positive, This is fun!, null, 871)
SpeechGreet(991, 993, Positive, Nice to meet you!, null, 886)
SpeechPositive(991, 993, Positive, This is fun!, null, 886)
SpeechPositive(993, 987, Positive, This is fun!, null, 894)
SpeechPositive(995, 991, Positive, This is fun!, null, 896)
SpeechPositive(987, 993, Positive, This is fun!, null, 902)
SpeechPositive(995, 987, Positive, This is fun!, null, 916)
SpeechPositive(991, 993, Positive, This is fun!, null, 922)
