AILI(sub, obj, type, content, context, time)
ThoughtPositive(987, 989, Positive, I think I like 989, null, 0)
ThoughtPositive(989, 993, Positive, I think I like 993, null, 0)
ThoughtPositive(991, 987, Positive, I think I like 987, null, 0)
ThoughtPositive(993, 991, Positive, I think I like 991, null, 0)
ThoughtPositive(995, 989, Positive, I think I like 989, null, 0)
SpeechGreet(989, 987, Positive, Nice to meet you!, null, 92)
SpeechPositive(989, 987, Positive, This is fun!, null, 92)
SpeechPositive(989, 987, Positive, This is fun!, null, 174)
SpeechGreet(995, 993, Positive, Nice to meet you!, null, 196)
SpeechPositive(995, 993, Positive, This is fun!, null, 196)
SpeechGreet(993, 987, Positive, Nice to meet you!, null, 311)
SpeechPositive(993, 987, Positive, This is fun!, null, 311)
SpeechGreet(995, 989, Positive, Nice to meet you!, null, 314)
SpeechPositive(995, 989, Positive, This is fun!, null, 314)
SpeechGreet(991, 995, Positive, Nice to meet you!, null, 321)
SpeechPositive(991, 995, Positive, This is fun!, null, 321)
SpeechPositive(993, 987, Positive, This is fun!, null, 330)
SpeechGreet(989, 991, Positive, Nice to meet you!, null, 353)
SpeechPositive(989, 991, Positive, This is fun!, null, 353)
SpeechPositive(993, 987, Positive, This is fun!, null, 362)
SpeechPositive(987, 993, Positive, This is fun!, null, 415)
SpeechPositive(991, 989, Positive, This is fun!, null, 431)
SpeechPositive(987, 993, Positive, This is fun!, null, 436)
SpeechPositive(989, 991, Positive, This is fun!, null, 466)
SpeechGreet(987, 991, Positive, Nice to meet you!, null, 562)
SpeechPositive(987, 991, Positive, This is fun!, null, 562)
SpeechGreet(989, 993, Positive, Nice to meet you!, null, 563)
SpeechPositive(989, 993, Positive, This is fun!, null, 563)
SpeechNegative(989, 993, Negative, Not so fun ..., null, 569)
SpeechPositive(995, 993, Positive, This is fun!, null, 604)
SpeechNegative(989, 995, Negative, Not so fun ..., null, 616)
SpeechPositive(989, 995, Positive, This is fun!, null, 676)
SpeechPositive(995, 991, Positive, This is fun!, null, 698)
SpeechPositive(995, 993, Positive, This is fun!, null, 701)
SpeechPositive(995, 991, Positive, This is fun!, null, 714)
SpeechGreet(987, 995, Positive, Nice to meet you!, null, 716)
SpeechPositive(987, 995, Positive, This is fun!, null, 716)
SpeechPositive(993, 995, Positive, This is fun!, null, 723)
SpeechNegative(991, 995, Negative, Not so fun ..., null, 724)
SpeechPositive(989, 993, Positive, This is fun!, null, 725)
SpeechPositive(995, 991, Positive, This is fun!, null, 734)
SpeechNegative(989, 995, Negative, Not so fun ..., null, 792)
SpeechGreet(991, 993, Positive, Nice to meet you!, null, 829)
SpeechPositive(991, 993, Positive, This is fun!, null, 829)
SpeechPositive(995, 987, Positive, This is fun!, null, 866)
SpeechPositive(995, 987, Positive, This is fun!, null, 880)
SpeechPositive(987, 995, Positive, This is fun!, null, 913)
SpeechNegative(989, 987, Negative, Not so fun ..., null, 943)
SpeechPositive(989, 995, Positive, This is fun!, null, 949)
SpeechPositive(995, 987, Positive, This is fun!, null, 1041)
SpeechPositive(989, 995, Positive, This is fun!, null, 1069)
SpeechPositive(989, 995, Positive, This is fun!, null, 1074)
SpeechNegative(987, 995, Negative, Not so fun ..., null, 1087)
SpeechPositive(989, 987, Positive, This is fun!, null, 1244)
SpeechPositive(987, 989, Positive, This is fun!, null, 1273)
SpeechPositive(993, 995, Positive, This is fun!, null, 1332)
SpeechPositive(993, 995, Positive, This is fun!, null, 1368)
SpeechProposal(993, 995, Proposal, Will you come to the prom with me!, null, 1368)
ThoughtConflict(995, 993, Conflict, Should I go to the Prom with 993? I really want to go with 989, null, 1368)
SpeechAccept(995, 993, Accept, Yes 993! I'd love to go to the Prom with you!, null, 1368)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 1375)
SpeechPositive(993, 995, Positive, This is fun!, null, 1396)
SpeechPositive(987, 989, Positive, This is fun!, null, 1439)
SpeechPositive(993, 995, Positive, This is fun!, null, 1452)
SpeechPositive(991, 989, Positive, This is fun!, null, 1605)
SpeechPositive(987, 993, Positive, This is fun!, null, 1627)
SpeechNegative(991, 995, Negative, Not so fun ..., null, 1635)
SpeechNegative(995, 991, Negative, Not so fun ..., null, 1642)
SpeechPositive(993, 987, Positive, This is fun!, null, 1644)
SpeechNegative(991, 989, Negative, Not so fun ..., null, 1656)
SpeechPositive(991, 989, Positive, This is fun!, null, 1665)
SpeechPositive(995, 989, Positive, This is fun!, null, 1691)
SpeechNegative(987, 993, Negative, Not so fun ..., null, 1692)
SpeechPositive(993, 987, Positive, This is fun!, null, 1731)
SpeechNegative(995, 991, Negative, Not so fun ..., null, 1736)
SpeechPositive(987, 993, Positive, This is fun!, null, 1738)
SpeechPositive(995, 991, Positive, This is fun!, null, 1762)
SpeechPositive(987, 993, Positive, This is fun!, null, 1784)
SpeechNegative(991, 989, Negative, Not so fun ..., null, 1791)
SpeechNegative(995, 993, Negative, Not so fun ..., null, 1859)
SpeechNegative(987, 991, Negative, Not so fun ..., null, 1860)
SpeechNegative(987, 991, Negative, Not so fun ..., null, 1861)
SpeechPositive(993, 995, Positive, This is fun!, null, 1870)
SpeechPositive(995, 993, Positive, This is fun!, null, 1898)
SpeechPositive(987, 995, Positive, This is fun!, null, 1900)
SpeechPositive(995, 991, Positive, This is fun!, null, 1905)
SpeechPositive(989, 993, Positive, This is fun!, null, 1925)
SpeechPositive(987, 993, Positive, This is fun!, null, 1944)
SpeechPositive(987, 995, Positive, This is fun!, null, 1947)
SpeechPositive(991, 993, Positive, This is fun!, null, 1966)
SpeechNegative(989, 993, Negative, Not so fun ..., null, 2007)
