AILI(sub, obj, type, content, context, time)
ThoughtPositive(987, 989, Positive, I think I like 989, null, 0)
ThoughtPositive(989, 995, Positive, I think I like 995, null, 0)
ThoughtPositive(991, 989, Positive, I think I like 989, null, 0)
ThoughtPositive(993, 991, Positive, I think I like 991, null, 0)
ThoughtPositive(995, 989, Positive, I think I like 989, null, 0)
SpeechGreet(991, 987, Positive, Nice to meet you!, null, 51)
SpeechPositive(991, 987, Positive, This is fun!, null, 51)
SpeechNegative(991, 987, Negative, Not so fun ..., null, 93)
SpeechGreet(993, 995, Positive, Nice to meet you!, null, 114)
SpeechPositive(993, 995, Positive, This is fun!, null, 114)
SpeechPositive(991, 987, Positive, This is fun!, null, 165)
SpeechGreet(989, 987, Positive, Nice to meet you!, null, 279)
SpeechPositive(989, 987, Positive, This is fun!, null, 279)
SpeechPositive(993, 995, Positive, This is fun!, null, 279)
SpeechPositive(987, 991, Positive, This is fun!, null, 282)
SpeechNegative(987, 991, Negative, Not so fun ..., null, 286)
SpeechPositive(993, 995, Positive, This is fun!, null, 332)
SpeechPositive(991, 987, Positive, This is fun!, null, 359)
SpeechPositive(989, 987, Positive, This is fun!, null, 364)
SpeechGreet(989, 991, Positive, Nice to meet you!, null, 385)
SpeechNegative(989, 991, Negative, Not so fun ..., null, 385)
SpeechPositive(987, 991, Positive, This is fun!, null, 400)
SpeechPositive(987, 989, Positive, This is fun!, null, 426)
SpeechPositive(991, 987, Positive, This is fun!, null, 440)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 503)
SpeechPositive(989, 991, Positive, This is fun!, null, 525)
SpeechPositive(991, 989, Positive, This is fun!, null, 536)
SpeechPositive(989, 987, Positive, This is fun!, null, 542)
SpeechPositive(989, 991, Positive, This is fun!, null, 602)
SpeechPositive(995, 993, Positive, This is fun!, null, 603)
SpeechNegative(991, 987, Negative, Not so fun ..., null, 614)
SpeechPositive(989, 987, Positive, This is fun!, null, 635)
SpeechPositive(993, 995, Positive, This is fun!, null, 677)
SpeechPositive(987, 991, Positive, This is fun!, null, 712)
SpeechPositive(987, 989, Positive, This is fun!, null, 754)
SpeechProposal(987, 989, Proposal, Will you come to the prom with me!, null, 754)
ThoughtConflict(989, 987, Conflict, Should I go to the Prom with 987? I really want to go with 995, null, 754)
SpeechRejection(989, 987, Rejection, I'm Sorry 987, I don't want to go to the Prom with you., null, 754)
SpeechProposal(989, 987, Proposal, Will you come to the prom with me!, null, 754)
SpeechAccept(987, 989, Accept, Yes 989! I'd love to go to the Prom with you!, null, 754)
SpeechPositive(991, 989, Positive, This is fun!, null, 756)
SpeechPositive(989, 987, Positive, This is fun!, null, 826)
SpeechPositive(991, 989, Positive, This is fun!, null, 829)
SpeechPositive(989, 991, Positive, This is fun!, null, 847)
SpeechPositive(987, 989, Positive, This is fun!, null, 891)
SpeechPositive(991, 989, Positive, This is fun!, null, 901)
SpeechPositive(987, 989, Positive, This is fun!, null, 914)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 925)
SpeechPositive(995, 993, Positive, This is fun!, null, 930)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 938)
SpeechPositive(989, 987, Positive, This is fun!, null, 941)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 949)
SpeechPositive(989, 991, Positive, This is fun!, null, 1007)
SpeechPositive(991, 989, Positive, This is fun!, null, 1031)
SpeechPositive(989, 991, Positive, This is fun!, null, 1038)
SpeechPositive(993, 995, Positive, This is fun!, null, 1174)
SpeechPositive(995, 993, Positive, This is fun!, null, 1209)
SpeechNegative(991, 987, Negative, Not so fun ..., null, 1232)
SpeechPositive(993, 995, Positive, This is fun!, null, 1246)
SpeechPositive(987, 991, Positive, This is fun!, null, 1270)
SpeechPositive(991, 987, Positive, This is fun!, null, 1270)
SpeechPositive(991, 987, Positive, This is fun!, null, 1275)
SpeechNegative(995, 993, Negative, Not so fun ..., null, 1298)
SpeechNegative(987, 991, Negative, Not so fun ..., null, 1321)
SpeechPositive(993, 995, Positive, This is fun!, null, 1401)
SpeechPositive(995, 993, Positive, This is fun!, null, 1497)
SpeechProposal(995, 993, Proposal, Will you come to the prom with me!, null, 1497)
ThoughtConflict(993, 995, Conflict, Should I go to the Prom with 995? I really want to go with 991, null, 1497)
SpeechRejection(993, 995, Rejection, I'm Sorry 995, I don't want to go to the Prom with you., null, 1497)
SpeechProposal(993, 995, Proposal, Will you come to the prom with me!, null, 1498)
ThoughtConflict(995, 993, Conflict, Should I go to the Prom with 993? I really want to go with 989, null, 1498)
SpeechAccept(995, 993, Accept, Yes 993! I'd love to go to the Prom with you!, null, 1498)
SpeechPositive(987, 991, Positive, This is fun!, null, 1500)
SpeechPositive(987, 991, Positive, This is fun!, null, 1581)
SpeechPositive(993, 995, Positive, This is fun!, null, 1598)
SpeechPositive(987, 991, Positive, This is fun!, null, 1632)
