AILI(sub, obj, type, content, context, time)
ThoughtPositive(987, 991, Positive, I think I like 991, null, 0)
ThoughtPositive(989, 991, Positive, I think I like 991, null, 0)
ThoughtPositive(991, 995, Positive, I think I like 995, null, 0)
ThoughtPositive(993, 989, Positive, I think I like 989, null, 0)
ThoughtPositive(995, 993, Positive, I think I like 993, null, 0)
SpeechGreet(987, 993, Positive, Nice to meet you!, null, 5)
SpeechPositive(987, 993, Positive, This is fun!, null, 5)
SpeechGreet(987, 991, Positive, Nice to meet you!, null, 111)
SpeechPositive(987, 991, Positive, This is fun!, null, 111)
SpeechGreet(995, 989, Positive, Nice to meet you!, null, 121)
SpeechPositive(995, 989, Positive, This is fun!, null, 121)
SpeechGreet(993, 991, Positive, Nice to meet you!, null, 137)
SpeechPositive(993, 991, Positive, This is fun!, null, 137)
SpeechNegative(991, 993, Negative, Not so fun ..., null, 156)
SpeechPositive(991, 993, Positive, This is fun!, null, 173)
SpeechNegative(987, 991, Negative, Not so fun ..., null, 186)
SpeechNegative(993, 991, Negative, Not so fun ..., null, 199)
SpeechPositive(989, 995, Positive, This is fun!, null, 341)
SpeechPositive(995, 989, Positive, This is fun!, null, 347)
SpeechNegative(995, 989, Negative, Not so fun ..., null, 350)
SpeechPositive(989, 995, Positive, This is fun!, null, 355)
SpeechGreet(991, 989, Positive, Nice to meet you!, null, 381)
SpeechNegative(991, 989, Negative, Not so fun ..., null, 381)
SpeechPositive(989, 991, Positive, This is fun!, null, 395)
SpeechPositive(991, 989, Positive, This is fun!, null, 408)
SpeechGreet(995, 991, Positive, Nice to meet you!, null, 448)
SpeechPositive(995, 991, Positive, This is fun!, null, 448)
SpeechPositive(989, 991, Positive, This is fun!, null, 449)
SpeechNegative(989, 991, Negative, Not so fun ..., null, 497)
SpeechPositive(987, 993, Positive, This is fun!, null, 515)
SpeechPositive(995, 991, Positive, This is fun!, null, 551)
SpeechPositive(993, 991, Positive, This is fun!, null, 628)
SpeechPositive(995, 989, Positive, This is fun!, null, 644)
SpeechPositive(991, 987, Positive, This is fun!, null, 651)
SpeechNegative(989, 991, Negative, Not so fun ..., null, 729)
SpeechNegative(991, 987, Negative, Not so fun ..., null, 737)
SpeechGreet(989, 987, Positive, Nice to meet you!, null, 876)
SpeechPositive(989, 987, Positive, This is fun!, null, 876)
SpeechGreet(989, 993, Positive, Nice to meet you!, null, 927)
SpeechNegative(989, 993, Negative, Not so fun ..., null, 927)
SpeechPositive(987, 993, Positive, This is fun!, null, 937)
SpeechGreet(993, 995, Positive, Nice to meet you!, null, 961)
SpeechPositive(993, 995, Positive, This is fun!, null, 961)
SpeechGreet(995, 987, Positive, Nice to meet you!, null, 971)
SpeechNegative(995, 987, Negative, Not so fun ..., null, 971)
SpeechPositive(995, 987, Positive, This is fun!, null, 972)
SpeechPositive(995, 989, Positive, This is fun!, null, 976)
SpeechPositive(993, 995, Positive, This is fun!, null, 995)
SpeechPositive(995, 989, Positive, This is fun!, null, 1000)
SpeechProposal(995, 989, Proposal, Will you come to the prom with me!, null, 1000)
ThoughtConflict(989, 995, Conflict, Should I go to the Prom with 995? I really want to go with 991, null, 1000)
SpeechAccept(989, 995, Accept, Yes 995! I'd love to go to the Prom with you!, null, 1000)
SpeechNegative(995, 987, Negative, Not so fun ..., null, 1037)
SpeechPositive(993, 989, Positive, This is fun!, null, 1082)
SpeechPositive(993, 987, Positive, This is fun!, null, 1088)
SpeechNegative(995, 989, Negative, Not so fun ..., null, 1196)
SpeechPositive(989, 995, Positive, This is fun!, null, 1203)
SpeechPositive(989, 995, Positive, This is fun!, null, 1205)
SpeechPositive(993, 987, Positive, This is fun!, null, 1217)
SpeechNegative(987, 993, Negative, Not so fun ..., null, 1228)
SpeechNegative(987, 993, Negative, Not so fun ..., null, 1275)
SpeechPositive(987, 993, Positive, This is fun!, null, 1339)
SpeechPositive(995, 989, Positive, This is fun!, null, 1378)
SpeechPositive(991, 987, Positive, This is fun!, null, 1381)
SpeechPositive(995, 989, Positive, This is fun!, null, 1446)
SpeechPositive(989, 995, Positive, This is fun!, null, 1450)
SpeechPositive(993, 987, Positive, This is fun!, null, 1580)
SpeechPositive(995, 991, Positive, This is fun!, null, 1651)
SpeechPositive(987, 993, Positive, This is fun!, null, 1664)
SpeechProposal(987, 993, Proposal, Will you come to the prom with me!, null, 1664)
ThoughtConflict(993, 987, Conflict, Should I go to the Prom with 987? I really want to go with 989, null, 1664)
SpeechAccept(993, 987, Accept, Yes 987! I'd love to go to the Prom with you!, null, 1664)
SpeechPositive(989, 995, Positive, This is fun!, null, 1697)
