AILI(sub, obj, type, content, context, time)
ThoughtPositive(987, 993, Positive, I think I like 993, null, 0)
ThoughtPositive(989, 993, Positive, I think I like 993, null, 0)
ThoughtPositive(991, 989, Positive, I think I like 989, null, 0)
ThoughtPositive(993, 989, Positive, I think I like 989, null, 0)
ThoughtPositive(995, 989, Positive, I think I like 989, null, 0)
SpeechGreet(995, 991, Positive, Nice to meet you!, null, 2)
SpeechPositive(995, 991, Positive, This is fun!, null, 2)
SpeechGreet(987, 991, Positive, Nice to meet you!, null, 34)
SpeechPositive(987, 991, Positive, This is fun!, null, 34)
SpeechGreet(989, 995, Positive, Nice to meet you!, null, 40)
SpeechNegative(989, 995, Negative, Not so fun ..., null, 40)
SpeechGreet(987, 995, Positive, Nice to meet you!, null, 44)
SpeechPositive(987, 995, Positive, This is fun!, null, 44)
SpeechPositive(989, 995, Positive, This is fun!, null, 82)
SpeechNegative(987, 995, Negative, Not so fun ..., null, 90)
SpeechGreet(989, 991, Positive, Nice to meet you!, null, 90)
SpeechPositive(989, 991, Positive, This is fun!, null, 90)
SpeechPositive(989, 995, Positive, This is fun!, null, 90)
SpeechPositive(989, 995, Positive, This is fun!, null, 93)
SpeechPositive(987, 991, Positive, This is fun!, null, 125)
SpeechGreet(989, 987, Positive, Nice to meet you!, null, 135)
SpeechPositive(989, 987, Positive, This is fun!, null, 135)
SpeechPositive(995, 989, Positive, This is fun!, null, 188)
SpeechNegative(991, 987, Negative, Not so fun ..., null, 189)
SpeechGreet(993, 987, Positive, Nice to meet you!, null, 311)
SpeechPositive(993, 987, Positive, This is fun!, null, 311)
SpeechGreet(993, 989, Positive, Nice to meet you!, null, 317)
SpeechPositive(993, 989, Positive, This is fun!, null, 317)
SpeechNegative(989, 993, Negative, Not so fun ..., null, 368)
SpeechPositive(991, 995, Positive, This is fun!, null, 374)
SpeechNegative(989, 987, Negative, Not so fun ..., null, 406)
SpeechPositive(995, 991, Positive, This is fun!, null, 411)
SpeechPositive(993, 987, Positive, This is fun!, null, 424)
SpeechPositive(987, 993, Positive, This is fun!, null, 429)
SpeechNegative(993, 989, Negative, Not so fun ..., null, 436)
SpeechPositive(989, 987, Positive, This is fun!, null, 446)
SpeechPositive(987, 993, Positive, This is fun!, null, 454)
SpeechPositive(987, 993, Positive, This is fun!, null, 467)
SpeechPositive(987, 989, Positive, This is fun!, null, 482)
SpeechPositive(989, 987, Positive, This is fun!, null, 544)
SpeechPositive(989, 987, Positive, This is fun!, null, 599)
SpeechGreet(995, 993, Positive, Nice to meet you!, null, 611)
SpeechPositive(995, 993, Positive, This is fun!, null, 611)
SpeechPositive(993, 995, Positive, This is fun!, null, 646)
SpeechPositive(989, 987, Positive, This is fun!, null, 666)
SpeechGreet(993, 991, Positive, Nice to meet you!, null, 727)
SpeechPositive(993, 991, Positive, This is fun!, null, 727)
SpeechPositive(991, 995, Positive, This is fun!, null, 756)
SpeechNegative(991, 995, Negative, Not so fun ..., null, 766)
SpeechPositive(995, 993, Positive, This is fun!, null, 775)
SpeechPositive(989, 987, Positive, This is fun!, null, 795)
SpeechProposal(989, 987, Proposal, Will you come to the prom with me!, null, 795)
