AILI(sub, obj, type, content, context, time)
ThoughtPositive(987, 989, Positive, I think I like 989, null, 0)
ThoughtPositive(989, 991, Positive, I think I like 991, null, 0)
ThoughtPositive(991, 987, Positive, I think I like 987, null, 0)
ThoughtPositive(993, 991, Positive, I think I like 991, null, 0)
ThoughtPositive(995, 993, Positive, I think I like 993, null, 0)
SpeechGreet(995, 989, Positive, Nice to meet you!, null, 12)
SpeechPositive(995, 989, Positive, This is fun!, null, 12)
SpeechNegative(989, 995, Negative, Not so fun ..., null, 37)
SpeechGreet(993, 987, Positive, Nice to meet you!, null, 89)
SpeechNegative(993, 987, Negative, Not so fun ..., null, 89)
SpeechPositive(995, 989, Positive, This is fun!, null, 90)
SpeechNegative(989, 995, Negative, Not so fun ..., null, 98)
SpeechNegative(993, 987, Negative, Not so fun ..., null, 101)
SpeechPositive(989, 995, Positive, This is fun!, null, 104)
SpeechPositive(995, 989, Positive, This is fun!, null, 127)
SpeechPositive(995, 989, Positive, This is fun!, null, 129)
SpeechGreet(991, 993, Positive, Nice to meet you!, null, 316)
SpeechPositive(991, 993, Positive, This is fun!, null, 316)
SpeechGreet(989, 993, Positive, Nice to meet you!, null, 318)
SpeechPositive(989, 993, Positive, This is fun!, null, 318)
SpeechGreet(991, 987, Positive, Nice to meet you!, null, 359)
SpeechPositive(991, 987, Positive, This is fun!, null, 359)
SpeechGreet(991, 989, Positive, Nice to meet you!, null, 366)
SpeechPositive(991, 989, Positive, This is fun!, null, 366)
SpeechPositive(991, 987, Positive, This is fun!, null, 407)
SpeechPositive(993, 991, Positive, This is fun!, null, 441)
SpeechPositive(993, 987, Positive, This is fun!, null, 454)
SpeechNegative(993, 991, Negative, Not so fun ..., null, 469)
SpeechPositive(993, 987, Positive, This is fun!, null, 477)
SpeechPositive(991, 987, Positive, This is fun!, null, 508)
SpeechPositive(993, 989, Positive, This is fun!, null, 662)
SpeechGreet(987, 989, Positive, Nice to meet you!, null, 683)
SpeechPositive(987, 989, Positive, This is fun!, null, 683)
