AILI(sub, obj, type, content, context, time)
SpeechPositive(989, 987, Positive, This is fun!, null, 1690)
SpeechNegative(995, 987, Negative, Not so fun ..., null, 1717)
SpeechNegative(989, 995, Negative, Not so fun ..., null, 1721)
SpeechNegative(987, 989, Negative, Not so fun ..., null, 1722)
SpeechNegative(991, 993, Negative, Not so fun ..., null, 1782)
SpeechPositive(995, 987, Positive, This is fun!, null, 1796)
SpeechNegative(995, 989, Negative, Not so fun ..., null, 1800)
SpeechPositive(993, 991, Positive, This is fun!, null, 1875)
SpeechPositive(987, 989, Positive, This is fun!, null, 1880)
SpeechPositive(993, 991, Positive, This is fun!, null, 1892)
SpeechPositive(989, 995, Positive, This is fun!, null, 1922)
SpeechPositive(987, 989, Positive, This is fun!, null, 1948)
SpeechNegative(989, 987, Negative, Not so fun ..., null, 1989)
SpeechNegative(995, 987, Negative, Not so fun ..., null, 1999)
SpeechPositive(995, 989, Positive, This is fun!, null, 2015)
SpeechPositive(987, 989, Positive, This is fun!, null, 2016)
SpeechNegative(989, 987, Negative, Not so fun ..., null, 2028)
SpeechPositive(987, 989, Positive, This is fun!, null, 2037)
SpeechPositive(989, 987, Positive, This is fun!, null, 2041)
SpeechPositive(995, 989, Positive, This is fun!, null, 2045)
SpeechPositive(989, 987, Positive, This is fun!, null, 2073)
SpeechPositive(987, 995, Positive, This is fun!, null, 2075)
SpeechPositive(987, 989, Positive, This is fun!, null, 2079)
SpeechNegative(995, 989, Negative, Not so fun ..., null, 2095)
SpeechPositive(993, 995, Positive, This is fun!, null, 2151)
SpeechPositive(989, 991, Positive, This is fun!, null, 2166)
SpeechPositive(991, 995, Positive, This is fun!, null, 2168)
SpeechNegative(987, 995, Negative, Not so fun ..., null, 2187)
SpeechNegative(989, 991, Negative, Not so fun ..., null, 2191)
SpeechPositive(993, 995, Positive, This is fun!, null, 2200)
SpeechPositive(989, 995, Positive, This is fun!, null, 2203)
SpeechNegative(995, 991, Negative, Not so fun ..., null, 2214)
SpeechPositive(991, 995, Positive, This is fun!, null, 2233)
SpeechPositive(987, 995, Positive, This is fun!, null, 2287)
SpeechPositive(991, 989, Positive, This is fun!, null, 2287)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 2303)
SpeechPositive(993, 995, Positive, This is fun!, null, 2332)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 2356)
SpeechPositive(991, 995, Positive, This is fun!, null, 2383)
SpeechPositive(987, 991, Positive, This is fun!, null, 2515)
SpeechPositive(995, 991, Positive, This is fun!, null, 2518)
SpeechPositive(991, 995, Positive, This is fun!, null, 2521)
SpeechNegative(991, 993, Negative, Not so fun ..., null, 2522)
SpeechPositive(993, 987, Positive, This is fun!, null, 2523)
SpeechPositive(987, 993, Positive, This is fun!, null, 2530)
SpeechPositive(987, 993, Positive, This is fun!, null, 2532)
SpeechPositive(993, 995, Positive, This is fun!, null, 2559)
SpeechPositive(987, 993, Positive, This is fun!, null, 2580)
SpeechPositive(987, 991, Positive, This is fun!, null, 2580)
SpeechPositive(987, 993, Positive, This is fun!, null, 2600)
SpeechPositive(995, 991, Positive, This is fun!, null, 2617)
SpeechPositive(987, 995, Positive, This is fun!, null, 2618)
SpeechPositive(995, 991, Positive, This is fun!, null, 2618)
SpeechNegative(995, 993, Negative, Not so fun ..., null, 2630)
SpeechPositive(991, 993, Positive, This is fun!, null, 2646)
SpeechPositive(987, 993, Positive, This is fun!, null, 2685)
SpeechNegative(993, 987, Negative, Not so fun ..., null, 2686)
SpeechPositive(987, 995, Positive, This is fun!, null, 2765)
SpeechPositive(987, 993, Positive, This is fun!, null, 2796)
SpeechPositive(995, 989, Positive, This is fun!, null, 2932)
SpeechPositive(991, 993, Positive, This is fun!, null, 2982)
SpeechPositive(989, 987, Positive, This is fun!, null, 2983)
SpeechPositive(987, 989, Positive, This is fun!, null, 3144)
SpeechPositive(995, 989, Positive, This is fun!, null, 3158)
SpeechPositive(987, 989, Positive, This is fun!, null, 3163)
SpeechPositive(987, 995, Positive, This is fun!, null, 3225)
