AILI(sub, obj, type, content, context, time)
ThoughtPositive(991, 999, Positive, I think I like 999, null, 0)
ThoughtPositive(993, 991, Positive, I think I like 991, null, 0)
ThoughtPositive(995, 999, Positive, I think I like 999, null, 0)
ThoughtPositive(997, 993, Positive, I think I like 993, null, 0)
ThoughtPositive(999, 991, Positive, I think I like 991, null, 0)
SpeechGreet(999, 993, Positive, Nice to meet you!, null, 49)
SpeechPositive(999, 993, Positive, This is fun!, null, 49)
SpeechNegative(999, 993, Negative, Not so fun ..., null, 52)
SpeechGreet(993, 995, Positive, Nice to meet you!, null, 76)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 76)
SpeechGreet(995, 999, Positive, Nice to meet you!, null, 91)
SpeechPositive(995, 999, Positive, This is fun!, null, 91)
SpeechPositive(999, 995, Positive, This is fun!, null, 99)
SpeechPositive(999, 993, Positive, This is fun!, null, 124)
SpeechPositive(993, 995, Positive, This is fun!, null, 136)
SpeechNegative(999, 993, Negative, Not so fun ..., null, 138)
SpeechPositive(999, 993, Positive, This is fun!, null, 142)
SpeechPositive(995, 999, Positive, This is fun!, null, 146)
SpeechPositive(999, 995, Positive, This is fun!, null, 147)
SpeechGreet(995, 997, Positive, Nice to meet you!, null, 153)
SpeechPositive(995, 997, Positive, This is fun!, null, 153)
SpeechGreet(997, 993, Positive, Nice to meet you!, null, 159)
SpeechPositive(997, 993, Positive, This is fun!, null, 159)
SpeechPositive(997, 995, Positive, This is fun!, null, 160)
SpeechGreet(997, 999, Positive, Nice to meet you!, null, 162)
SpeechPositive(997, 999, Positive, This is fun!, null, 162)
SpeechPositive(993, 995, Positive, This is fun!, null, 182)
SpeechPositive(995, 997, Positive, This is fun!, null, 182)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 183)
SpeechPositive(999, 995, Positive, This is fun!, null, 188)
SpeechPositive(999, 993, Positive, This is fun!, null, 192)
SpeechGreet(991, 995, Positive, Nice to meet you!, null, 286)
SpeechPositive(991, 995, Positive, This is fun!, null, 286)
SpeechPositive(999, 997, Positive, This is fun!, null, 305)
SpeechGreet(993, 991, Positive, Nice to meet you!, null, 328)
SpeechPositive(993, 991, Positive, This is fun!, null, 328)
SpeechPositive(995, 993, Positive, This is fun!, null, 333)
SpeechPositive(997, 999, Positive, This is fun!, null, 364)
SpeechNegative(997, 999, Negative, Not so fun ..., null, 385)
SpeechNegative(997, 999, Negative, Not so fun ..., null, 389)
SpeechPositive(999, 997, Positive, This is fun!, null, 450)
SpeechPositive(993, 995, Positive, This is fun!, null, 461)
SpeechPositive(991, 993, Positive, This is fun!, null, 477)
SpeechNegative(991, 995, Negative, Not so fun ..., null, 480)
SpeechNegative(995, 991, Negative, Not so fun ..., null, 521)
SpeechPositive(995, 993, Positive, This is fun!, null, 593)
SpeechPositive(995, 991, Positive, This is fun!, null, 624)
SpeechPositive(997, 999, Positive, This is fun!, null, 626)
SpeechNegative(993, 999, Negative, Not so fun ..., null, 637)
SpeechPositive(993, 999, Positive, This is fun!, null, 644)
SpeechPositive(991, 993, Positive, This is fun!, null, 651)
SpeechNegative(993, 997, Negative, Not so fun ..., null, 666)
SpeechPositive(999, 997, Positive, This is fun!, null, 692)
SpeechPositive(995, 993, Positive, This is fun!, null, 712)
SpeechNegative(999, 993, Negative, Not so fun ..., null, 718)
SpeechPositive(999, 993, Positive, This is fun!, null, 728)
SpeechPositive(993, 997, Positive, This is fun!, null, 792)
SpeechGreet(999, 991, Positive, Nice to meet you!, null, 896)
SpeechPositive(999, 991, Positive, This is fun!, null, 896)
SpeechPositive(993, 999, Positive, This is fun!, null, 906)
SpeechPositive(999, 991, Positive, This is fun!, null, 910)
SpeechPositive(993, 997, Positive, This is fun!, null, 913)
SpeechPositive(999, 991, Positive, This is fun!, null, 937)
SpeechGreet(991, 997, Positive, Nice to meet you!, null, 945)
SpeechPositive(991, 997, Positive, This is fun!, null, 945)
SpeechPositive(991, 995, Positive, This is fun!, null, 945)
SpeechNegative(999, 995, Negative, Not so fun ..., null, 946)
SpeechPositive(991, 995, Positive, This is fun!, null, 983)
SpeechNegative(993, 997, Negative, Not so fun ..., null, 990)
SpeechPositive(993, 999, Positive, This is fun!, null, 995)
SpeechPositive(991, 997, Positive, This is fun!, null, 1041)
SpeechPositive(999, 995, Positive, This is fun!, null, 1043)
SpeechPositive(993, 999, Positive, This is fun!, null, 1046)
SpeechPositive(999, 995, Positive, This is fun!, null, 1067)
SpeechProposal(999, 995, Proposal, Will you come to the prom with me!, null, 1067)
SpeechAccept(995, 999, Accept, Yes 999! I'd love to go to the Prom with you!, null, 1067)
SpeechPositive(993, 991, Positive, This is fun!, null, 1071)
SpeechPositive(993, 991, Positive, This is fun!, null, 1072)
SpeechPositive(995, 997, Positive, This is fun!, null, 1073)
SpeechPositive(995, 999, Positive, This is fun!, null, 1075)
SpeechPositive(995, 997, Positive, This is fun!, null, 1085)
SpeechNegative(993, 991, Negative, Not so fun ..., null, 1096)
SpeechPositive(991, 999, Positive, This is fun!, null, 1101)
SpeechPositive(995, 997, Positive, This is fun!, null, 1191)
SpeechNegative(999, 993, Negative, Not so fun ..., null, 1191)
SpeechNegative(995, 993, Negative, Not so fun ..., null, 1193)
SpeechNegative(999, 993, Negative, Not so fun ..., null, 1195)
SpeechPositive(993, 999, Positive, This is fun!, null, 1232)
SpeechPositive(999, 993, Positive, This is fun!, null, 1233)
SpeechPositive(995, 997, Positive, This is fun!, null, 1245)
SpeechPositive(995, 993, Positive, This is fun!, null, 1273)
SpeechPositive(995, 993, Positive, This is fun!, null, 1283)
SpeechPositive(995, 997, Positive, This is fun!, null, 1284)
SpeechNegative(999, 993, Negative, Not so fun ..., null, 1321)
SpeechNegative(997, 995, Negative, Not so fun ..., null, 1343)
SpeechPositive(995, 997, Positive, This is fun!, null, 1344)
SpeechPositive(999, 995, Positive, This is fun!, null, 1347)
SpeechPositive(997, 995, Positive, This is fun!, null, 1358)
SpeechNegative(995, 993, Negative, Not so fun ..., null, 1376)
SpeechPositive(993, 995, Positive, This is fun!, null, 1445)
SpeechPositive(993, 999, Positive, This is fun!, null, 1449)
SpeechNegative(997, 995, Negative, Not so fun ..., null, 1455)
SpeechPositive(995, 993, Positive, This is fun!, null, 1474)
SpeechPositive(997, 999, Positive, This is fun!, null, 1481)
SpeechNegative(993, 997, Negative, Not so fun ..., null, 1492)
SpeechPositive(997, 995, Positive, This is fun!, null, 1495)
SpeechPositive(999, 997, Positive, This is fun!, null, 1575)
SpeechPositive(995, 991, Positive, This is fun!, null, 1645)
SpeechPositive(993, 991, Positive, This is fun!, null, 1664)
SpeechPositive(991, 993, Positive, This is fun!, null, 1671)
SpeechProposal(991, 993, Proposal, Will you come to the prom with me!, null, 1671)
SpeechAccept(993, 991, Accept, Yes 991! I'd love to go to the Prom with you!, null, 1671)
SpeechPositive(995, 993, Positive, This is fun!, null, 1672)
SpeechNegative(997, 999, Negative, Not so fun ..., null, 1739)
SpeechPositive(991, 995, Positive, This is fun!, null, 1765)
SpeechPositive(997, 999, Positive, This is fun!, null, 1771)
SpeechPositive(995, 991, Positive, This is fun!, null, 1786)
SpeechPositive(995, 993, Positive, This is fun!, null, 1793)
SpeechPositive(999, 997, Positive, This is fun!, null, 1798)
SpeechPositive(995, 991, Positive, This is fun!, null, 1833)
SpeechPositive(991, 993, Positive, This is fun!, null, 1863)
