AILI(sub, obj, type, content, context, time)
ThoughtPositive(990, 994, Positive, I think I like 994, null, 0)
ThoughtPositive(992, 990, Positive, I think I like 990, null, 0)
ThoughtPositive(994, 996, Positive, I think I like 996, null, 0)
ThoughtPositive(996, 998, Positive, I think I like 998, null, 0)
ThoughtPositive(998, 990, Positive, I think I like 990, null, 0)
SpeechGreet(990, 996, Positive, Nice to meet you!, null, 60)
SpeechPositive(990, 996, Positive, This is fun!, null, 60)
SpeechGreet(994, 998, Positive, Nice to meet you!, null, 62)
SpeechNegative(994, 998, Negative, Not so fun ..., null, 62)
SpeechPositive(994, 998, Positive, This is fun!, null, 87)
SpeechPositive(994, 998, Positive, This is fun!, null, 187)
SpeechPositive(990, 996, Positive, This is fun!, null, 195)
SpeechPositive(994, 998, Positive, This is fun!, null, 333)
SpeechGreet(998, 992, Positive, Nice to meet you!, null, 352)
SpeechPositive(998, 992, Positive, This is fun!, null, 352)
SpeechGreet(994, 992, Positive, Nice to meet you!, null, 386)
SpeechPositive(994, 992, Positive, This is fun!, null, 386)
SpeechPositive(992, 994, Positive, This is fun!, null, 408)
SpeechGreet(990, 994, Positive, Nice to meet you!, null, 538)
SpeechPositive(990, 994, Positive, This is fun!, null, 538)
SpeechPositive(994, 990, Positive, This is fun!, null, 578)
SpeechPositive(992, 998, Positive, This is fun!, null, 585)
SpeechGreet(996, 994, Positive, Nice to meet you!, null, 625)
SpeechNegative(996, 994, Negative, Not so fun ..., null, 625)
SpeechGreet(990, 998, Positive, Nice to meet you!, null, 640)
SpeechNegative(990, 998, Negative, Not so fun ..., null, 640)
SpeechPositive(990, 994, Positive, This is fun!, null, 678)
SpeechPositive(992, 998, Positive, This is fun!, null, 680)
SpeechPositive(992, 994, Positive, This is fun!, null, 683)
SpeechNegative(996, 990, Negative, Not so fun ..., null, 685)
SpeechGreet(992, 990, Positive, Nice to meet you!, null, 703)
SpeechPositive(992, 990, Positive, This is fun!, null, 703)
SpeechPositive(992, 998, Positive, This is fun!, null, 737)
SpeechPositive(992, 990, Positive, This is fun!, null, 763)
SpeechPositive(992, 998, Positive, This is fun!, null, 795)
SpeechPositive(998, 990, Positive, This is fun!, null, 818)
SpeechGreet(996, 998, Positive, Nice to meet you!, null, 858)
SpeechPositive(996, 998, Positive, This is fun!, null, 858)
SpeechPositive(998, 992, Positive, This is fun!, null, 864)
SpeechProposal(998, 992, Proposal, Will you come to the prom with me!, null, 864)
ThoughtConflict(992, 998, Conflict, Should I go to the Prom with 998? I really want to go with 990, null, 864)
SpeechRejection(992, 998, Rejection, I'm Sorry 998, I don't want to go to the Prom with you., null, 864)
SpeechProposal(992, 998, Proposal, Will you come to the prom with me!, null, 865)
ThoughtConflict(998, 992, Conflict, Should I go to the Prom with 992? I really want to go with 990, null, 865)
SpeechRejection(998, 992, Rejection, I'm Sorry 992, I don't want to go to the Prom with you., null, 865)
SpeechPositive(998, 992, Positive, This is fun!, null, 881)
SpeechPositive(998, 992, Positive, This is fun!, null, 894)
SpeechPositive(998, 990, Positive, This is fun!, null, 897)
SpeechPositive(996, 990, Positive, This is fun!, null, 904)
SpeechPositive(992, 990, Positive, This is fun!, null, 960)
SpeechPositive(992, 990, Positive, This is fun!, null, 1009)
SpeechNegative(990, 992, Negative, Not so fun ..., null, 1011)
SpeechPositive(998, 992, Positive, This is fun!, null, 1036)
SpeechProposal(998, 992, Proposal, Will you come to the prom with me!, null, 1036)
ThoughtConflict(992, 998, Conflict, Should I go to the Prom with 998? I really want to go with 990, null, 1036)
SpeechRejection(992, 998, Rejection, I'm Sorry 998, I don't want to go to the Prom with you., null, 1036)
SpeechProposal(992, 998, Proposal, Will you come to the prom with me!, null, 1037)
ThoughtConflict(998, 992, Conflict, Should I go to the Prom with 992? I really want to go with 990, null, 1037)
SpeechAccept(998, 992, Accept, Yes 992! I'd love to go to the Prom with you!, null, 1037)
SpeechPositive(992, 998, Positive, This is fun!, null, 1044)
SpeechPositive(998, 992, Positive, This is fun!, null, 1048)
SpeechPositive(996, 990, Positive, This is fun!, null, 1066)
SpeechNegative(996, 990, Negative, Not so fun ..., null, 1091)
SpeechPositive(996, 990, Positive, This is fun!, null, 1221)
SpeechPositive(998, 994, Positive, This is fun!, null, 1234)
SpeechPositive(994, 998, Positive, This is fun!, null, 1300)
SpeechPositive(990, 996, Positive, This is fun!, null, 1487)
SpeechNegative(998, 992, Negative, Not so fun ..., null, 1624)
SpeechPositive(992, 998, Positive, This is fun!, null, 1666)
SpeechPositive(998, 992, Positive, This is fun!, null, 1701)
SpeechNegative(992, 998, Negative, Not so fun ..., null, 1722)
SpeechPositive(992, 998, Positive, This is fun!, null, 1743)
SpeechPositive(996, 990, Positive, This is fun!, null, 1748)
SpeechPositive(992, 994, Positive, This is fun!, null, 1783)
SpeechPositive(990, 998, Positive, This is fun!, null, 1828)
SpeechPositive(996, 990, Positive, This is fun!, null, 1838)
SpeechProposal(996, 990, Proposal, Will you come to the prom with me!, null, 1838)
ThoughtConflict(990, 996, Conflict, Should I go to the Prom with 996? I really want to go with 994, null, 1838)
SpeechAccept(990, 996, Accept, Yes 996! I'd love to go to the Prom with you!, null, 1838)
SpeechNegative(992, 998, Negative, Not so fun ..., null, 1841)
SpeechPositive(990, 994, Positive, This is fun!, null, 1852)
SpeechNegative(994, 990, Negative, Not so fun ..., null, 1878)
SpeechPositive(996, 990, Positive, This is fun!, null, 1927)
SpeechPositive(998, 994, Positive, This is fun!, null, 1933)
SpeechPositive(998, 994, Positive, This is fun!, null, 1940)
SpeechPositive(996, 990, Positive, This is fun!, null, 1954)
SpeechPositive(996, 994, Positive, This is fun!, null, 1963)
