AILI(sub, obj, type, content, context, time)
ThoughtPositive(987, 991, Positive, I think I like 991, null, 0)
ThoughtPositive(989, 991, Positive, I think I like 991, null, 0)
ThoughtPositive(991, 995, Positive, I think I like 995, null, 0)
ThoughtPositive(993, 995, Positive, I think I like 995, null, 0)
ThoughtPositive(995, 987, Positive, I think I like 987, null, 0)
SpeechGreet(993, 989, Positive, Nice to meet you!, null, 25)
SpeechPositive(993, 989, Positive, This is fun!, null, 25)
SpeechGreet(995, 991, Positive, Nice to meet you!, null, 28)
SpeechPositive(995, 991, Positive, This is fun!, null, 28)
SpeechPositive(989, 993, Positive, This is fun!, null, 33)
SpeechGreet(993, 995, Positive, Nice to meet you!, null, 52)
SpeechPositive(993, 995, Positive, This is fun!, null, 52)
SpeechPositive(993, 995, Positive, This is fun!, null, 64)
SpeechGreet(991, 993, Positive, Nice to meet you!, null, 68)
SpeechNegative(991, 993, Negative, Not so fun ..., null, 68)
SpeechPositive(993, 989, Positive, This is fun!, null, 68)
SpeechPositive(991, 995, Positive, This is fun!, null, 72)
SpeechGreet(991, 989, Positive, Nice to meet you!, null, 76)
SpeechNegative(991, 989, Negative, Not so fun ..., null, 76)
SpeechPositive(989, 993, Positive, This is fun!, null, 93)
SpeechPositive(991, 989, Positive, This is fun!, null, 95)
SpeechPositive(993, 995, Positive, This is fun!, null, 109)
SpeechPositive(993, 991, Positive, This is fun!, null, 161)
SpeechNegative(989, 993, Negative, Not so fun ..., null, 185)
SpeechPositive(989, 993, Positive, This is fun!, null, 186)
SpeechNegative(991, 989, Negative, Not so fun ..., null, 201)
SpeechPositive(991, 993, Positive, This is fun!, null, 290)
SpeechNegative(989, 993, Negative, Not so fun ..., null, 294)
SpeechPositive(991, 995, Positive, This is fun!, null, 336)
SpeechPositive(991, 993, Positive, This is fun!, null, 341)
SpeechPositive(991, 993, Positive, This is fun!, null, 362)
SpeechNegative(991, 995, Negative, Not so fun ..., null, 376)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 383)
SpeechPositive(993, 989, Positive, This is fun!, null, 386)
SpeechGreet(989, 995, Positive, Nice to meet you!, null, 399)
SpeechNegative(989, 995, Negative, Not so fun ..., null, 399)
SpeechPositive(989, 991, Positive, This is fun!, null, 405)
SpeechNegative(995, 993, Negative, Not so fun ..., null, 420)
SpeechNegative(989, 995, Negative, Not so fun ..., null, 427)
SpeechPositive(995, 991, Positive, This is fun!, null, 434)
SpeechNegative(989, 995, Negative, Not so fun ..., null, 450)
SpeechPositive(995, 993, Positive, This is fun!, null, 451)
SpeechPositive(993, 991, Positive, This is fun!, null, 472)
SpeechPositive(993, 995, Positive, This is fun!, null, 475)
SpeechPositive(991, 989, Positive, This is fun!, null, 517)
SpeechGreet(987, 993, Positive, Nice to meet you!, null, 530)
SpeechPositive(987, 993, Positive, This is fun!, null, 530)
SpeechGreet(987, 989, Positive, Nice to meet you!, null, 533)
SpeechNegative(987, 989, Negative, Not so fun ..., null, 533)
SpeechGreet(987, 991, Positive, Nice to meet you!, null, 538)
SpeechPositive(987, 991, Positive, This is fun!, null, 538)
SpeechPositive(995, 991, Positive, This is fun!, null, 538)
SpeechNegative(991, 989, Negative, Not so fun ..., null, 547)
SpeechNegative(995, 989, Negative, Not so fun ..., null, 575)
SpeechPositive(987, 989, Positive, This is fun!, null, 581)
SpeechPositive(995, 993, Positive, This is fun!, null, 603)
SpeechPositive(995, 993, Positive, This is fun!, null, 608)
SpeechPositive(991, 993, Positive, This is fun!, null, 617)
SpeechGreet(995, 987, Positive, Nice to meet you!, null, 632)
SpeechPositive(995, 987, Positive, This is fun!, null, 632)
SpeechPositive(989, 993, Positive, This is fun!, null, 651)
SpeechPositive(995, 993, Positive, This is fun!, null, 665)
SpeechProposal(995, 993, Proposal, Will you come to the prom with me!, null, 665)
SpeechAccept(993, 995, Accept, Yes 995! I'd love to go to the Prom with you!, null, 665)
SpeechPositive(991, 989, Positive, This is fun!, null, 667)
SpeechPositive(995, 991, Positive, This is fun!, null, 672)
SpeechPositive(991, 987, Positive, This is fun!, null, 684)
SpeechPositive(987, 993, Positive, This is fun!, null, 717)
SpeechNegative(987, 991, Negative, Not so fun ..., null, 727)
SpeechPositive(991, 989, Positive, This is fun!, null, 728)
SpeechPositive(995, 991, Positive, This is fun!, null, 759)
SpeechPositive(987, 991, Positive, This is fun!, null, 788)
SpeechPositive(995, 991, Positive, This is fun!, null, 869)
SpeechNegative(993, 989, Negative, Not so fun ..., null, 881)
SpeechPositive(991, 995, Positive, This is fun!, null, 900)
SpeechPositive(989, 991, Positive, This is fun!, null, 904)
SpeechPositive(991, 989, Positive, This is fun!, null, 940)
SpeechPositive(991, 989, Positive, This is fun!, null, 956)
SpeechPositive(987, 989, Positive, This is fun!, null, 960)
SpeechNegative(991, 989, Negative, Not so fun ..., null, 970)
SpeechPositive(993, 989, Positive, This is fun!, null, 971)
SpeechPositive(987, 989, Positive, This is fun!, null, 976)
SpeechPositive(987, 993, Positive, This is fun!, null, 1003)
SpeechPositive(987, 993, Positive, This is fun!, null, 1045)
SpeechNegative(989, 991, Negative, Not so fun ..., null, 1052)
SpeechNegative(989, 995, Negative, Not so fun ..., null, 1078)
SpeechPositive(987, 993, Positive, This is fun!, null, 1080)
SpeechNegative(991, 995, Negative, Not so fun ..., null, 1087)
SpeechPositive(995, 991, Positive, This is fun!, null, 1217)
SpeechPositive(989, 991, Positive, This is fun!, null, 1260)
SpeechPositive(993, 995, Positive, This is fun!, null, 1286)
SpeechPositive(989, 995, Positive, This is fun!, null, 1304)
SpeechNegative(991, 989, Negative, Not so fun ..., null, 1313)
SpeechPositive(989, 995, Positive, This is fun!, null, 1314)
SpeechPositive(993, 991, Positive, This is fun!, null, 1314)
SpeechPositive(991, 993, Positive, This is fun!, null, 1363)
SpeechPositive(991, 989, Positive, This is fun!, null, 1389)
SpeechPositive(991, 989, Positive, This is fun!, null, 1393)
SpeechNegative(995, 991, Negative, Not so fun ..., null, 1400)
SpeechPositive(991, 989, Positive, This is fun!, null, 1425)
SpeechProposal(991, 989, Proposal, Will you come to the prom with me!, null, 1425)
SpeechAccept(989, 991, Accept, Yes 991! I'd love to go to the Prom with you!, null, 1425)
SpeechPositive(993, 989, Positive, This is fun!, null, 1427)
SpeechPositive(991, 989, Positive, This is fun!, null, 1460)
SpeechPositive(989, 993, Positive, This is fun!, null, 1462)
SpeechPositive(991, 995, Positive, This is fun!, null, 1483)
SpeechPositive(989, 993, Positive, This is fun!, null, 1497)
SpeechNegative(995, 991, Negative, Not so fun ..., null, 1570)
SpeechNegative(993, 991, Negative, Not so fun ..., null, 1584)
SpeechPositive(995, 989, Positive, This is fun!, null, 1590)
SpeechPositive(989, 993, Positive, This is fun!, null, 1596)
SpeechPositive(989, 993, Positive, This is fun!, null, 1608)
SpeechPositive(991, 989, Positive, This is fun!, null, 1622)
SpeechPositive(995, 989, Positive, This is fun!, null, 1672)
SpeechNegative(993, 991, Negative, Not so fun ..., null, 1676)
SpeechPositive(991, 989, Positive, This is fun!, null, 1678)
SpeechNegative(995, 989, Negative, Not so fun ..., null, 1680)
SpeechPositive(993, 989, Positive, This is fun!, null, 1687)
SpeechNegative(989, 993, Negative, Not so fun ..., null, 1707)
SpeechPositive(995, 991, Positive, This is fun!, null, 1712)
SpeechNegative(995, 989, Negative, Not so fun ..., null, 1739)
SpeechPositive(995, 989, Positive, This is fun!, null, 1748)
SpeechNegative(993, 995, Negative, Not so fun ..., null, 1755)
SpeechPositive(989, 991, Positive, This is fun!, null, 1759)
SpeechPositive(995, 991, Positive, This is fun!, null, 1778)
SpeechNegative(995, 993, Negative, Not so fun ..., null, 1790)
SpeechPositive(989, 991, Positive, This is fun!, null, 1796)
SpeechPositive(991, 989, Positive, This is fun!, null, 1821)
SpeechPositive(989, 995, Positive, This is fun!, null, 1848)
SpeechPositive(995, 991, Positive, This is fun!, null, 1878)
SpeechNegative(987, 989, Negative, Not so fun ..., null, 1880)
SpeechPositive(989, 991, Positive, This is fun!, null, 1896)
SpeechPositive(987, 991, Positive, This is fun!, null, 1899)
SpeechNegative(991, 989, Negative, Not so fun ..., null, 1913)
SpeechNegative(995, 989, Negative, Not so fun ..., null, 1923)
SpeechPositive(987, 995, Positive, This is fun!, null, 1927)
SpeechPositive(987, 989, Positive, This is fun!, null, 1949)
SpeechPositive(987, 989, Positive, This is fun!, null, 1951)
SpeechPositive(991, 995, Positive, This is fun!, null, 1975)
SpeechPositive(987, 989, Positive, This is fun!, null, 1986)
SpeechPositive(989, 995, Positive, This is fun!, null, 1991)
SpeechPositive(991, 995, Positive, This is fun!, null, 1997)
SpeechNegative(987, 989, Negative, Not so fun ..., null, 2030)
