AILI(sub, obj, type, content, context, time)
MeldEventAILI(Karen, card, null, null , rummy, 14:04:20)
DiscardEventAILI(Karen, card, null, null , rummy, 14:04:26)
SpeechAILI(Karen, User, EXPRESSIVE, do you have good cards?, null, 14:05:24)
ResponseAILI(User, Karen, EXPRESSIVE, yes, rummy, 14:05:24)
MeldEventAILI(User, card, null, null , rummy, 14:07:34)
FacialExpressionAILI(User, null, SMILE, null , null, 14:08:17)
FacialExpressionAILI(User, null, SMILE, null , null, 14:08:52)
FacialExpressionAILI(User, null, SMILE, null , null, 14:09:15)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 14:09:32)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 14:09:35)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 14:09:37)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 14:10:09)
FacialExpressionAILI(User, null, SMILE, null , null, 14:10:11)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 14:10:14)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 14:10:20)
DiscardEventAILI(User, card, null, null , rummy, 14:10:23)
SpeechAILI(Karen, User, EXPRESSIVE, clever meld!, null, 14:10:36)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 14:10:37)
ResponseAILI(User, Karen, EXPRESSIVE, thanks, rummy, 14:10:43)
LayOffEventAILI(Karen, card, null, null , rummy, 14:10:44)
DiscardEventAILI(Karen, card, null, null , rummy, 14:10:50)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 14:10:58)
SpeechAILI(User, Karen, EXPRESSIVE, good job on lay off, null, 14:11:15)
ResponseAILI(Karen, User, EXPRESSIVE, thanks, rummy, 14:11:15)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 14:11:28)
FacialExpressionAILI(User, null, SMILE, null , null, 14:11:34)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 14:11:40)
FacialExpressionAILI(User, null, SMILE, null , null, 14:11:41)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 14:11:42)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 14:11:47)
FacialExpressionAILI(User, null, SMILE, null , null, 14:13:37)
