AILI(sub, obj, type, content, context, time)
MeldEventAILI(Karen, card, null, null , rummy, 16:36:57)
MeldEventAILI(Karen, card, null, null , rummy, 16:37:04)
DiscardEventAILI(Karen, card, null, null , rummy, 16:37:06)
FacialExpressionAILI(User, null, SMILE, null , null, 16:37:17)
SpeechAILI(Karen, User, EXPRESSIVE, how is your hand?, null, 16:37:18)
ResponseAILI(User, Karen, EXPRESSIVE, terrible!, rummy, 16:37:19)
DiscardEventAILI(User, card, null, null , rummy, 16:37:32)
SpeechAILI(Karen, User, EXPRESSIVE, i am in this to win, null, 16:37:42)
ResponseAILI(User, Karen, EXPRESSIVE, well do your best, rummy, 16:37:43)
DiscardEventAILI(Karen, card, null, null , rummy, 16:37:44)
DiscardEventAILI(User, card, null, null , rummy, 16:38:03)
DiscardEventAILI(Karen, card, null, null , rummy, 16:38:05)
DiscardEventAILI(User, card, null, null , rummy, 16:38:40)
DiscardEventAILI(Karen, card, null, null , rummy, 16:38:47)
SpeechAILI(Karen, User, EXPRESSIVE, i have intel inside, you got cheese burger, null, 16:39:13)
ResponseAILI(User, Karen, EXPRESSIVE, don't forget the toppings, i had jalapeno, rummy, 16:39:14)
DiscardEventAILI(User, card, null, null , rummy, 16:39:34)
DiscardEventAILI(Karen, card, null, null , rummy, 16:39:36)
SpeechAILI(Karen, User, EXPRESSIVE, i am in this to win, null, 16:39:48)
ResponseAILI(User, Karen, EXPRESSIVE, well do your best, rummy, 16:39:49)
MeldEventAILI(User, card, null, null , rummy, 16:40:11)
DiscardEventAILI(User, card, null, null , rummy, 16:40:18)
SpeechAILI(User, Karen, EXPRESSIVE, here i go, meld!, null, 16:40:26)
ResponseAILI(Karen, User, EXPRESSIVE, , rummy, 16:40:26)
DiscardEventAILI(Karen, card, null, null , rummy, 16:40:30)
SpeechAILI(Karen, User, EXPRESSIVE, i love playing games, null, 16:40:43)
ResponseAILI(User, Karen, EXPRESSIVE, me too, rummy, 16:40:44)
DiscardEventAILI(User, card, null, null , rummy, 16:40:52)
DiscardEventAILI(Karen, card, null, null , rummy, 16:40:54)
SpeechAILI(User, Karen, EXPRESSIVE, you do play very well, null, 16:41:04)
ResponseAILI(Karen, User, EXPRESSIVE, i have to do more melds then, rummy, 16:41:04)
DiscardEventAILI(User, card, null, null , rummy, 16:41:22)
FacialExpressionAILI(User, null, SMILE, null , null, 16:41:27)
SpeechAILI(Karen, User, EXPRESSIVE, now my turn!, null, 16:41:27)
ResponseAILI(User, Karen, EXPRESSIVE, show me what you can do!, rummy, 16:41:28)
DiscardEventAILI(Karen, card, null, null , rummy, 16:41:29)
SpeechAILI(User, Karen, EXPRESSIVE, you do play very well, null, 16:41:40)
ResponseAILI(Karen, User, EXPRESSIVE, thank you very much, you too, rummy, 16:41:40)
MeldEventAILI(User, card, null, null , rummy, 16:41:53)
DiscardEventAILI(User, card, null, null , rummy, 16:41:56)
SpeechAILI(User, Karen, EXPRESSIVE, i got good cards!, null, 16:42)
ResponseAILI(Karen, User, EXPRESSIVE, then i might be just losing!, rummy, 16:42)
LayOffEventAILI(Karen, card, null, null , rummy, 16:42:04)
DiscardEventAILI(Karen, card, null, null , rummy, 16:42:10)
SpeechAILI(Karen, User, EXPRESSIVE, only a few cards left here, haha, null, 16:42:18)
ResponseAILI(User, Karen, EXPRESSIVE, wait for my moves, rummy, 16:42:19)
DiscardEventAILI(User, card, null, null , rummy, 16:42:29)
DiscardEventAILI(Karen, card, null, null , rummy, 16:42:31)
SpeechAILI(User, Karen, EXPRESSIVE, it is fun to play with you, null, 16:42:43)
DiscardEventAILI(User, card, null, null , rummy, 16:42:49)
DiscardEventAILI(Karen, card, null, null , rummy, 16:42:50)
ResponseAILI(Karen, User, EXPRESSIVE, you play very well, rummy, 16:43:01)
DiscardEventAILI(User, card, null, null , rummy, 16:43:10)
DiscardEventAILI(Karen, card, null, null , rummy, 16:43:22)
DiscardEventAILI(User, card, null, null , rummy, 16:43:39)
MeldEventAILI(Karen, card, null, null , rummy, 16:43:41)
DiscardEventAILI(Karen, card, null, null , rummy, 16:43:47)
GameOverAILI(game, null, null, null , rummy, 16:43:54)
SpeechAILI(User, User, EXPRESSIVE, good meld, null, 16:43:54)
