AILI(sub, obj, type, content, context, time)
MeldEventAILI(Karen, card, null, null , rummy, 11:08:50)
DiscardEventAILI(Karen, card, null, null , rummy, 11:08:56)
SpeechAILI(Karen, User, EXPRESSIVE, how's your hand over there?, null, 11:09:06)
ResponseAILI(User, Karen, EXPRESSIVE, good!, rummy, 11:09:07)
DiscardEventAILI(User, card, null, null , rummy, 11:09:31)
SpeechAILI(Karen, User, EXPRESSIVE, i should say, you do play very well, null, 11:09:39)
ResponseAILI(User, Karen, EXPRESSIVE, thank you, you do too, rummy, 11:09:40)
DiscardEventAILI(Karen, card, null, null , rummy, 11:09:41)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:09:42)
FacialExpressionAILI(User, null, SMILE, null , null, 11:09:49)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:09:49)
DiscardEventAILI(User, card, null, null , rummy, 11:09:56)
DiscardEventAILI(Karen, card, null, null , rummy, 11:09:58)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:10:01)
MeldEventAILI(User, card, null, null , rummy, 11:10:14)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:10:15)
FacialExpressionAILI(User, null, SMILE, null , null, 11:10:16)
DiscardEventAILI(User, card, null, null , rummy, 11:10:20)
LayOffEventAILI(Karen, card, null, null , rummy, 11:10:31)
DiscardEventAILI(Karen, card, null, null , rummy, 11:10:37)
SpeechAILI(User, Karen, EXPRESSIVE, nice, null, 11:10:51)
FacialExpressionAILI(User, null, SMILE, null , null, 11:10:52)
DiscardEventAILI(User, card, null, null , rummy, 11:11:01)
LayOffEventAILI(Karen, card, null, null , rummy, 11:11:03)
DiscardEventAILI(Karen, card, null, null , rummy, 11:11:09)
SpeechAILI(User, Karen, EXPRESSIVE, nice again, null, 11:11:19)
LayOffEventAILI(User, card, null, null , rummy, 11:11:57)
DiscardEventAILI(User, card, null, null , rummy, 11:12:23)
SpeechAILI(User, Karen, EXPRESSIVE, found a lay off, yes!, null, 11:12:30)
ResponseAILI(Karen, User, EXPRESSIVE, , rummy, 11:12:30)
DiscardEventAILI(Karen, card, null, null , rummy, 11:12:34)
SpeechAILI(Karen, User, EXPRESSIVE, i am in this to win, null, 11:12:46)
ResponseAILI(User, Karen, EXPRESSIVE, well do your best, rummy, 11:12:47)
DiscardEventAILI(User, card, null, null , rummy, 11:12:59)
DiscardEventAILI(Karen, card, null, null , rummy, 11:13:01)
SpeechAILI(User, Karen, EXPRESSIVE, you do play very well, null, 11:13:12)
ResponseAILI(Karen, User, EXPRESSIVE, good job, rummy, 11:13:12)
DiscardEventAILI(User, card, null, null , rummy, 11:13:49)
SpeechAILI(Karen, User, EXPRESSIVE, humans are somewhat intelligent but robots are genius, null, 11:14:05)
ResponseAILI(User, Karen, EXPRESSIVE, bragging won't get you to win madam agent, rummy, 11:14:06)
MeldEventAILI(Karen, card, null, null , rummy, 11:14:07)
DiscardEventAILI(Karen, card, null, null , rummy, 11:14:13)
ResponseAILI(User, Karen, EXPRESSIVE, good meld, rummy, 11:14:22)
ResponseAILI(Karen, User, EXPRESSIVE, such encouragement to hear that!, rummy, 11:14:22)
MeldEventAILI(User, card, null, null , rummy, 11:14:34)
DiscardEventAILI(User, card, null, null , rummy, 11:14:36)
SpeechAILI(User, Karen, EXPRESSIVE, only few cards left for you, null, 11:14:41)
ResponseAILI(Karen, User, EXPRESSIVE, yes, i just found noticed myself, rummy, 11:14:41)
DiscardEventAILI(Karen, card, null, null , rummy, 11:14:45)
SpeechAILI(Karen, User, EXPRESSIVE, i am in this to win!, null, 11:14:56)
ResponseAILI(User, Karen, EXPRESSIVE, well do your best, rummy, 11:14:57)
LayOffEventAILI(User, card, null, null , rummy, 11:15:06)
DiscardEventAILI(User, card, null, null , rummy, 11:15:17)
DiscardEventAILI(Karen, card, null, null , rummy, 11:15:25)
SpeechAILI(User, Karen, EXPRESSIVE, you do play very well, null, 11:15:35)
ResponseAILI(Karen, User, EXPRESSIVE, i know, i am excited, rummy, 11:15:35)
DiscardEventAILI(User, card, null, null , rummy, 11:15:44)
LayOffEventAILI(Karen, card, null, null , rummy, 11:15:50)
DiscardEventAILI(Karen, card, null, null , rummy, 11:15:56)
SpeechAILI(Karen, User, EXPRESSIVE, yes, i am finishing my cards, null, 11:16:03)
ResponseAILI(User, Karen, EXPRESSIVE, not so soon, rummy, 11:16:04)
MeldEventAILI(User, card, null, null , rummy, 11:16:17)
FacialExpressionAILI(User, null, SMILE, null , null, 11:16:19)
GameOverAILI(game, null, null, null , rummy, 11:16:27)
SpeechAILI(User, Karen, EXPRESSIVE, i finally win. good game., null, 11:16:27)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:16:28)
FacialExpressionAILI(User, null, SMILE, null , null, 11:16:29)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:16:29)
FacialExpressionAILI(User, null, SMILE, null , null, 11:16:30)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:16:36)
