AILI(sub, obj, type, content, context, time)
DiscardEventAILI(Karen, card, null, null , rummy, 16:36:05)
FacialExpressionAILI(User, null, SMILE, null , null, 16:36:29)
SpeechAILI(Karen, User, EXPRESSIVE, do you have good cards?, null, 16:36:29)
ResponseAILI(User, Karen, EXPRESSIVE, not really, rummy, 16:36:30)
DiscardEventAILI(User, card, null, null , rummy, 16:37:55)
DiscardEventAILI(Karen, card, null, null , rummy, 16:38:04)
DiscardEventAILI(User, card, null, null , rummy, 16:39:06)
DiscardEventAILI(Karen, card, null, null , rummy, 16:39:08)
DiscardEventAILI(User, card, null, null , rummy, 16:40:28)
DiscardEventAILI(Karen, card, null, null , rummy, 16:40:37)
SpeechAILI(Karen, User, EXPRESSIVE, humans are somewhat intelligent but robots are genius, null, 16:40:49)
ResponseAILI(User, Karen, EXPRESSIVE, how intelligent can a toaster be anyway?, rummy, 16:40:51)
DiscardEventAILI(User, card, null, null , rummy, 16:41:41)
DiscardEventAILI(Karen, card, null, null , rummy, 16:41:43)
SpeechAILI(Karen, User, EXPRESSIVE, that was the best i could do, null, 16:41:57)
ResponseAILI(User, Karen, EXPRESSIVE, but watch me!, rummy, 16:41:58)
DiscardEventAILI(User, card, null, null , rummy, 16:42:52)
MeldEventAILI(Karen, card, null, null , rummy, 16:43:01)
DiscardEventAILI(Karen, card, null, null , rummy, 16:43:07)
SpeechAILI(Karen, User, EXPRESSIVE, and that's how you make a meld!, null, 16:43:16)
ResponseAILI(User, Karen, EXPRESSIVE, don't get too excited!, rummy, 16:43:17)
MeldEventAILI(User, card, null, null , rummy, 16:43:46)
DiscardEventAILI(User, card, null, null , rummy, 16:44:07)
DiscardEventAILI(Karen, card, null, null , rummy, 16:44:15)
DiscardEventAILI(User, card, null, null , rummy, 16:44:49)
SpeechAILI(Karen, User, EXPRESSIVE, these cards are nice, why meld? keep them, null, 16:44:56)
ResponseAILI(User, Karen, EXPRESSIVE, haha, sure!, rummy, 16:44:57)
DiscardEventAILI(Karen, card, null, null , rummy, 16:44:58)
SpeechAILI(User, Karen, EXPRESSIVE, you do play very well, null, 16:45:09)
ResponseAILI(Karen, User, EXPRESSIVE, such an encouragement to hear that, rummy, 16:45:09)
DiscardEventAILI(User, card, null, null , rummy, 16:45:38)
DiscardEventAILI(Karen, card, null, null , rummy, 16:45:43)
SpeechAILI(Karen, User, EXPRESSIVE, i have intel inside, you have a cheese burger, null, 16:45:56)
ResponseAILI(User, Karen, EXPRESSIVE, at least i eat!, rummy, 16:45:57)
DiscardEventAILI(User, card, null, null , rummy, 16:46:22)
DiscardEventAILI(Karen, card, null, null , rummy, 16:46:24)
SpeechAILI(Karen, User, EXPRESSIVE, humans are somewhat intelligent but robots are genius, null, 16:46:35)
FacialExpressionAILI(User, null, SMILE, null , null, 16:46:36)
ResponseAILI(User, Karen, EXPRESSIVE, how intelligent can a toaster be anyway?, rummy, 16:46:37)
DiscardEventAILI(User, card, null, null , rummy, 16:47:12)
DiscardEventAILI(Karen, card, null, null , rummy, 16:47:14)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 16:47:29)
