AILI(sub, obj, type, content, context, time)
MeldEventAILI(Karen, card, null, null , rummy, 11:06:37)
DiscardEventAILI(Karen, card, null, null , rummy, 11:06:43)
SpeechAILI(Karen, User, EXPRESSIVE, how is your hand?, null, 11:06:51)
ResponseAILI(User, Karen, EXPRESSIVE, not gonna tell you!, rummy, 11:06:52)
FacialExpressionAILI(User, null, SMILE, null , null, 11:07:09)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:07:10)
FacialExpressionAILI(User, null, SMILE, null , null, 11:07:13)
DiscardEventAILI(User, card, null, null , rummy, 11:07:16)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:07:17)
FacialExpressionAILI(User, null, SMILE, null , null, 11:07:18)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:07:20)
FacialExpressionAILI(User, null, SMILE, null , null, 11:07:21)
FacialExpressionAILI(User, null, SMILE, null , null, 11:07:24)
DiscardEventAILI(Karen, card, null, null , rummy, 11:07:26)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:07:49)
MeldEventAILI(User, card, null, null , rummy, 11:07:58)
LayOffEventAILI(User, card, null, null , rummy, 11:08:04)
FacialExpressionAILI(User, null, SMILE, null , null, 11:08:08)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:08:09)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:08:15)
DiscardEventAILI(User, card, null, null , rummy, 11:08:21)
SpeechAILI(User, Karen, EXPRESSIVE, here i go, meld!, null, 11:08:31)
ResponseAILI(Karen, User, EXPRESSIVE, good job, rummy, 11:08:31)
DiscardEventAILI(Karen, card, null, null , rummy, 11:08:35)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:08:46)
SpeechAILI(User, Karen, EXPRESSIVE, i like playing with you, null, 11:08:47)
ResponseAILI(Karen, User, EXPRESSIVE, i have to do more melds then, rummy, 11:08:47)
FacialExpressionAILI(User, null, SMILE, null , null, 11:08:51)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:08:51)
LayOffEventAILI(User, card, null, null , rummy, 11:08:57)
FacialExpressionAILI(User, null, SMILE, null , null, 11:09:01)
DiscardEventAILI(User, card, null, null , rummy, 11:09:06)
SpeechAILI(Karen, User, EXPRESSIVE, good lay off!, null, 11:09:12)
ResponseAILI(User, Karen, EXPRESSIVE, thanks, rummy, 11:09:13)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:09:14)
LayOffEventAILI(Karen, card, null, null , rummy, 11:09:14)
FacialExpressionAILI(User, null, SMILE, null , null, 11:09:18)
DiscardEventAILI(Karen, card, null, null , rummy, 11:09:20)
SpeechAILI(Karen, User, EXPRESSIVE, and that meld goes bigger, null, 11:09:22)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:09:23)
ResponseAILI(User, Karen, EXPRESSIVE, nice, rummy, 11:09:30)
FacialExpressionAILI(User, null, SMILE, null , null, 11:09:36)
DiscardEventAILI(User, card, null, null , rummy, 11:09:47)
FacialExpressionAILI(User, null, SMILE, null , null, 11:09:50)
DiscardEventAILI(Karen, card, null, null , rummy, 11:09:53)
SpeechAILI(User, Karen, EXPRESSIVE, you do play very well, null, 11:10:05)
ResponseAILI(Karen, User, EXPRESSIVE, then we should play more!, rummy, 11:10:05)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:10:06)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:10:14)
DiscardEventAILI(User, card, null, null , rummy, 11:10:16)
SpeechAILI(Karen, User, EXPRESSIVE, i am in this to win, null, 11:10:24)
ResponseAILI(User, Karen, EXPRESSIVE, well do your best, rummy, 11:10:25)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:10:26)
MeldEventAILI(Karen, card, null, null , rummy, 11:10:26)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:10:31)
DiscardEventAILI(Karen, card, null, null , rummy, 11:10:32)
FacialExpressionAILI(User, null, SMILE, null , null, 11:10:33)
FacialExpressionAILI(User, null, SMILE, null , null, 11:10:37)
SpeechAILI(Karen, User, EXPRESSIVE, here i go, meld!, null, 11:10:40)
ResponseAILI(User, Karen, EXPRESSIVE, good job, rummy, 11:10:41)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:10:52)
FacialExpressionAILI(User, null, SMILE, null , null, 11:10:58)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:11:01)
FacialExpressionAILI(User, null, SMILE, null , null, 11:11:02)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:11:12)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:11:13)
MeldEventAILI(User, card, null, null , rummy, 11:11:14)
DiscardEventAILI(User, card, null, null , rummy, 11:11:25)
SpeechAILI(Karen, User, EXPRESSIVE, few cards to go for you, null, 11:11:33)
ResponseAILI(User, Karen, EXPRESSIVE, i know, rummy, 11:11:34)
DiscardEventAILI(Karen, card, null, null , rummy, 11:11:35)
FacialExpressionAILI(User, null, SMILE, null , null, 11:11:36)
SpeechAILI(Karen, User, EXPRESSIVE, i love playing games, null, 11:11:47)
ResponseAILI(User, Karen, EXPRESSIVE, me too, rummy, 11:11:48)
DiscardEventAILI(User, card, null, null , rummy, 11:12)
DiscardEventAILI(Karen, card, null, null , rummy, 11:12:02)
SpeechAILI(User, Karen, EXPRESSIVE, i like playing with you, null, 11:12:15)
ResponseAILI(Karen, User, EXPRESSIVE, i learn from smart people like you, rummy, 11:12:15)
LayOffEventAILI(User, card, null, null , rummy, 11:12:25)
DiscardEventAILI(User, card, null, null , rummy, 11:12:34)
SpeechAILI(Karen, User, EXPRESSIVE, good lay off!, null, 11:12:40)
ResponseAILI(User, Karen, EXPRESSIVE, thanks, rummy, 11:12:41)
LayOffEventAILI(Karen, card, null, null , rummy, 11:12:42)
DiscardEventAILI(Karen, card, null, null , rummy, 11:12:48)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:12:55)
SpeechAILI(Karen, User, EXPRESSIVE, and that meld goes bigger, null, 11:12:57)
ResponseAILI(User, Karen, EXPRESSIVE, nice, rummy, 11:12:57)
FacialExpressionAILI(User, null, SMILE, null , null, 11:12:58)
DiscardEventAILI(User, card, null, null , rummy, 11:13:10)
DiscardEventAILI(Karen, card, null, null , rummy, 11:13:15)
SpeechAILI(User, Karen, EXPRESSIVE, i like playing with you, null, 11:13:25)
ResponseAILI(Karen, User, EXPRESSIVE, then we should play more!, rummy, 11:13:25)
FacialExpressionAILI(User, null, SMILE, null , null, 11:13:30)
LayOffEventAILI(User, card, null, null , rummy, 11:13:35)
DiscardEventAILI(User, card, null, null , rummy, 11:13:38)
FacialExpressionAILI(User, null, SMILE, null , null, 11:13:40)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:13:40)
FacialExpressionAILI(User, null, SMILE, null , null, 11:13:46)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:13:48)
