AILI(sub, obj, type, content, context, time)
FacialExpressionAILI(User, null, SMILE, null , null, 11:32:05)
DiscardEventAILI(User, card, null, null , rummy, 11:32:29)
SpeechAILI(Karen, User, EXPRESSIVE, how is your hand?, null, 11:32:48)
ResponseAILI(User, Karen, EXPRESSIVE, good!, rummy, 11:32:48)
MeldEventAILI(Karen, card, null, null , rummy, 11:32:49)
MeldEventAILI(Karen, card, null, null , rummy, 11:32:55)
DiscardEventAILI(Karen, card, null, null , rummy, 11:32:56)
SpeechAILI(Karen, User, EXPRESSIVE, and that's how you make a meld!, null, 11:33:04)
ResponseAILI(User, Karen, EXPRESSIVE, don't get too excited!, rummy, 11:33:05)
FacialExpressionAILI(User, null, SMILE, null , null, 11:33:10)
FacialExpressionAILI(User, null, SMILE, null , null, 11:33:29)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:33:33)
MeldEventAILI(User, card, null, null , rummy, 11:33:38)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:33:45)
DiscardEventAILI(User, card, null, null , rummy, 11:33:47)
LayOffEventAILI(Karen, card, null, null , rummy, 11:33:54)
DiscardEventAILI(Karen, card, null, null , rummy, 11:34)
SpeechAILI(User, Karen, EXPRESSIVE, good job on lay off, null, 11:34:13)
ResponseAILI(Karen, User, EXPRESSIVE, yes!, rummy, 11:34:13)
DiscardEventAILI(User, card, null, null , rummy, 11:34:34)
DiscardEventAILI(Karen, card, null, null , rummy, 11:34:40)
SpeechAILI(Karen, User, EXPRESSIVE, i have intel inside, you got cheese burger, null, 11:34:55)
ResponseAILI(User, Karen, EXPRESSIVE, it was so delicious, you should, oh wait, you can't, rummy, 11:34:56)
DiscardEventAILI(User, card, null, null , rummy, 11:35:09)
DiscardEventAILI(Karen, card, null, null , rummy, 11:35:11)
DiscardEventAILI(User, card, null, null , rummy, 11:35:43)
DiscardEventAILI(Karen, card, null, null , rummy, 11:35:50)
SpeechAILI(Karen, User, EXPRESSIVE, humans are somewhat intelligent but robots are genius, null, 11:36:11)
ResponseAILI(User, Karen, EXPRESSIVE, oh really? tell me, who made you?, rummy, 11:36:12)
MeldEventAILI(User, card, null, null , rummy, 11:36:26)
DiscardEventAILI(User, card, null, null , rummy, 11:36:34)
SpeechAILI(Karen, User, EXPRESSIVE, clever meld!, null, 11:36:40)
ResponseAILI(User, Karen, EXPRESSIVE, thanks, rummy, 11:36:41)
DiscardEventAILI(Karen, card, null, null , rummy, 11:36:42)
DiscardEventAILI(User, card, null, null , rummy, 11:36:59)
SpeechAILI(Karen, User, EXPRESSIVE, now my turn!, null, 11:37:07)
ResponseAILI(User, Karen, EXPRESSIVE, well go ahead, rummy, 11:37:08)
DiscardEventAILI(Karen, card, null, null , rummy, 11:37:09)
SpeechAILI(User, Karen, EXPRESSIVE, you do play very well, null, 11:37:19)
ResponseAILI(Karen, User, EXPRESSIVE, yes!, rummy, 11:37:19)
MeldEventAILI(User, card, null, null , rummy, 11:37:45)
DiscardEventAILI(User, card, null, null , rummy, 11:37:49)
SpeechAILI(User, Karen, EXPRESSIVE, i have only a few cards left, null, 11:37:55)
ResponseAILI(Karen, User, EXPRESSIVE, i should hurry up then!, rummy, 11:37:55)
DiscardEventAILI(Karen, card, null, null , rummy, 11:37:59)
SpeechAILI(Karen, User, EXPRESSIVE, that was the best i could do, null, 11:38:13)
ResponseAILI(User, Karen, EXPRESSIVE, it was pretty good, rummy, 11:38:14)
DiscardEventAILI(User, card, null, null , rummy, 11:38:23)
DiscardEventAILI(Karen, card, null, null , rummy, 11:38:24)
DiscardEventAILI(User, card, null, null , rummy, 11:38:45)
DiscardEventAILI(Karen, card, null, null , rummy, 11:38:47)
SpeechAILI(User, Karen, EXPRESSIVE, you do play very well, null, 11:38:57)
ResponseAILI(Karen, User, EXPRESSIVE, thanks, rummy, 11:38:57)
