AILI(sub, obj, type, content, context, time)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 15:17:37)
FacialExpressionAILI(User, null, SMILE, null , null, 15:17:45)
MeldEventAILI(Karen, card, null, null , rummy, 15:17:51)
DiscardEventAILI(Karen, card, null, null , rummy, 15:17:57)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 15:18:01)
FacialExpressionAILI(User, null, SMILE, null , null, 15:18:11)
LayOffEventAILI(User, card, null, null , rummy, 15:18:14)
SpeechAILI(Karen, User, EXPRESSIVE, do you have good cards?, null, 15:18:18)
ResponseAILI(User, Karen, EXPRESSIVE, not really, rummy, 15:18:19)
DiscardEventAILI(User, card, null, null , rummy, 15:18:38)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 15:18:41)
FacialExpressionAILI(User, null, SMILE, null , null, 15:18:42)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 15:18:43)
FacialExpressionAILI(User, null, SMILE, null , null, 15:18:50)
LayOffEventAILI(Karen, card, null, null , rummy, 15:18:50)
LayOffEventAILI(Karen, card, null, null , rummy, 15:18:56)
DiscardEventAILI(Karen, card, null, null , rummy, 15:18:57)
SpeechAILI(User, Karen, EXPRESSIVE, good job on lay off, null, 15:19:03)
ResponseAILI(Karen, User, EXPRESSIVE, thanks!, rummy, 15:19:03)
FacialExpressionAILI(User, null, SMILE, null , null, 15:19:05)
MeldEventAILI(User, card, null, null , rummy, 15:19:11)
DiscardEventAILI(User, card, null, null , rummy, 15:19:24)
LayOffEventAILI(Karen, card, null, null , rummy, 15:19:29)
DiscardEventAILI(Karen, card, null, null , rummy, 15:19:35)
SpeechAILI(User, Karen, EXPRESSIVE, good job on lay off again, null, 15:19:45)
ResponseAILI(Karen, User, EXPRESSIVE, yes!, rummy, 15:19:45)
MeldEventAILI(User, card, null, null , rummy, 15:19:55)
DiscardEventAILI(User, card, null, null , rummy, 15:19:59)
FacialExpressionAILI(User, null, SMILE, null , null, 15:20:05)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 15:20:05)
SpeechAILI(User, Karen, EXPRESSIVE, haha, i am gonna win, null, 15:20:07)
DiscardEventAILI(Karen, card, null, null , rummy, 15:20:08)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 15:20:12)
DiscardEventAILI(User, card, null, null , rummy, 15:20:23)
SpeechAILI(Karen, User, EXPRESSIVE, i am in this to win, null, 15:20:29)
ResponseAILI(User, Karen, EXPRESSIVE, well do your best, rummy, 15:20:30)
DiscardEventAILI(Karen, card, null, null , rummy, 15:20:31)
SpeechAILI(User, Karen, EXPRESSIVE, you do play very well, null, 15:20:41)
ResponseAILI(Karen, User, EXPRESSIVE, i know!, rummy, 15:20:41)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 15:20:45)
FacialExpressionAILI(User, null, SMILE, null , null, 15:20:48)
LayOffEventAILI(User, card, null, null , rummy, 15:20:53)
DiscardEventAILI(User, card, null, null , rummy, 15:20:59)
SpeechAILI(Karen, User, EXPRESSIVE, that meld just got bigger, null, 15:21:03)
FacialExpressionAILI(User, null, SMILE, null , null, 15:21:04)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 15:21:06)
ResponseAILI(User, Karen, EXPRESSIVE, yes!, rummy, 15:21:06)
FacialExpressionAILI(User, null, SMILE, null , null, 15:21:06)
