AILI(sub, obj, type, content, context, time)
FacialExpressionAILI(User, null, SMILE, null , null, 11:03:26)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:03:27)
MeldEventAILI(Karen, card, null, null , rummy, 11:03:28)
DiscardEventAILI(Karen, card, null, null , rummy, 11:03:35)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:03:36)
FacialExpressionAILI(User, null, SMILE, null , null, 11:03:44)
MeldEventAILI(User, card, null, null , rummy, 11:03:48)
DiscardEventAILI(User, card, null, null , rummy, 11:03:56)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:04:03)
SpeechAILI(Karen, User, EXPRESSIVE, clever meld!, null, 11:04:04)
ResponseAILI(User, Karen, EXPRESSIVE, thanks, rummy, 11:04:05)
DiscardEventAILI(Karen, card, null, null , rummy, 11:04:06)
FacialExpressionAILI(User, null, SMILE, null , null, 11:04:06)
DiscardEventAILI(User, card, null, null , rummy, 11:04:25)
DiscardEventAILI(Karen, card, null, null , rummy, 11:04:27)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:04:27)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:04:40)
DiscardEventAILI(User, card, null, null , rummy, 11:04:45)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:04:49)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:04:55)
MeldEventAILI(Karen, card, null, null , rummy, 11:04:56)
DiscardEventAILI(Karen, card, null, null , rummy, 11:05:02)
SpeechAILI(Karen, User, EXPRESSIVE, and that's how you make a meld, null, 11:05:13)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:05:13)
ResponseAILI(User, Karen, EXPRESSIVE, don't get too excited!, rummy, 11:05:14)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:05:20)
FacialExpressionAILI(User, null, SMILE, null , null, 11:05:25)
DiscardEventAILI(User, card, null, null , rummy, 11:05:29)
DiscardEventAILI(Karen, card, null, null , rummy, 11:05:31)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:05:41)
FacialExpressionAILI(User, null, SMILE, null , null, 11:05:42)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:05:44)
SpeechAILI(Karen, User, EXPRESSIVE, i am in this to win, null, 11:05:45)
ResponseAILI(User, Karen, EXPRESSIVE, well do your best, rummy, 11:05:46)
FacialExpressionAILI(User, null, SMILE, null , null, 11:05:47)
DiscardEventAILI(User, card, null, null , rummy, 11:05:55)
DiscardEventAILI(Karen, card, null, null , rummy, 11:06)
FacialExpressionAILI(User, null, SMILE, null , null, 11:06:21)
DiscardEventAILI(User, card, null, null , rummy, 11:06:23)
DiscardEventAILI(Karen, card, null, null , rummy, 11:06:24)
SpeechAILI(User, Karen, EXPRESSIVE, you do play very well, null, 11:06:35)
ResponseAILI(Karen, User, EXPRESSIVE, i learn from smart people like you, rummy, 11:06:35)
FacialExpressionAILI(User, null, SMILE, null , null, 11:06:36)
DiscardEventAILI(User, card, null, null , rummy, 11:06:54)
SpeechAILI(Karen, User, EXPRESSIVE, i should say, you do play very well, null, 11:07:01)
ResponseAILI(User, Karen, EXPRESSIVE, thank you, you do too, rummy, 11:07:02)
DiscardEventAILI(Karen, card, null, null , rummy, 11:07:03)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:07:05)
FacialExpressionAILI(User, null, SMILE, null , null, 11:07:07)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:07:08)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:07:13)
ResponseAILI(User, Karen, EXPRESSIVE, you do play very well, rummy, 11:07:14)
ResponseAILI(Karen, User, EXPRESSIVE, such encouragement to hear that!, rummy, 11:07:14)
MeldEventAILI(User, card, null, null , rummy, 11:07:24)
DiscardEventAILI(User, card, null, null , rummy, 11:07:32)
FacialExpressionAILI(User, null, SMILE, null , null, 11:07:35)
DiscardEventAILI(Karen, card, null, null , rummy, 11:07:38)
FacialExpressionAILI(User, null, SMILE, null , null, 11:07:39)
SpeechAILI(Karen, User, EXPRESSIVE, i am in this to win!, null, 11:07:49)
ResponseAILI(User, Karen, EXPRESSIVE, well do your best, rummy, 11:07:50)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:07:52)
FacialExpressionAILI(User, null, SMILE, null , null, 11:07:52)
FacialExpressionAILI(User, null, SMILE, null , null, 11:07:54)
DiscardEventAILI(User, card, null, null , rummy, 11:08)
DiscardEventAILI(Karen, card, null, null , rummy, 11:08:01)
SpeechAILI(Karen, User, EXPRESSIVE, i am in this to win!, null, 11:08)
FacialExpressionAILI(User, null, SMILE, null , null, 11:08:02)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:08:06)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:08:12)
ResponseAILI(User, Karen, EXPRESSIVE, well do your best, rummy, 11:08:13)
DiscardEventAILI(User, card, null, null , rummy, 11:08:20)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:08:21)
DiscardEventAILI(Karen, card, null, null , rummy, 11:08:21)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:08:31)
SpeechAILI(User, Karen, EXPRESSIVE, i like playing with you, null, 11:08:32)
ResponseAILI(Karen, User, EXPRESSIVE, i learn from smart people like you, rummy, 11:08:32)
LayOffEventAILI(User, card, null, null , rummy, 11:08:40)
DiscardEventAILI(User, card, null, null , rummy, 11:08:42)
FacialExpressionAILI(User, null, SMILE, null , null, 11:08:43)
FacialExpressionAILI(User, null, LAUGHTER, null , null, 11:08:49)
SpeechAILI(Karen, User, EXPRESSIVE, few cards to go for you, null, 11:08:50)
ResponseAILI(User, Karen, EXPRESSIVE, too soon to say, rummy, 11:08:51)
LayOffEventAILI(Karen, card, null, null , rummy, 11:08:52)
FacialExpressionAILI(User, null, SMILE, null , null, 11:08:52)
DiscardEventAILI(Karen, card, null, null , rummy, 11:08:58)
MeldEventAILI(User, card, null, null , rummy, 11:09:11)
DiscardEventAILI(User, card, null, null , rummy, 11:09:12)
FacialExpressionAILI(User, null, SMILE, null , null, 11:09:14)
GameOverAILI(game, null, null, null , rummy, 11:09:19)
SpeechAILI(User, Karen, EXPRESSIVE, i finally win. good game., null, 11:09:19)
